Latitude,Longitude,Elevation
-41.6359500,145.9492500,867.0
-41.6359500,145.9490800,869.0
-41.6359700,145.9490400,870.0
-41.6359900,145.9489900,870.0
-41.6360200,145.9489600,871.0
-41.6360500,145.9489200,871.0
-41.6360800,145.9488800,871.0
-41.6361200,145.9488400,872.0
-41.6361500,145.9488200,872.0
-41.6362100,145.9487800,872.0
-41.6362500,145.9487400,872.0
-41.6362800,145.9487200,873.0
-41.6363600,145.9486600,872.0
-41.6364000,145.9486600,872.0
-41.6364400,145.9486400,872.0
-41.6364600,145.9486300,872.0
-41.6365100,145.9486100,872.0
-41.6365400,145.9485900,872.0
-41.6365700,145.9485700,873.0
-41.6365900,145.9485400,873.0
-41.6366200,145.9485200,873.0
-41.6366500,145.9485000,873.0
-41.6366700,145.9484800,873.0
-41.6367000,145.9484600,873.0
-41.6367300,145.9484300,873.0
-41.6367600,145.9484000,873.0
-41.6367900,145.9483700,873.0
-41.6368100,145.9483400,873.0
-41.6368300,145.9483000,873.0
-41.6368500,145.9482700,873.0
-41.6368700,145.9482300,874.0
-41.6368800,145.9482000,874.0
-41.6369000,145.9481600,874.0
-41.6369400,145.9481300,874.0
-41.6369600,145.9481100,874.0
-41.6370000,145.9480900,874.0
-41.6370300,145.9480800,874.0
-41.6370600,145.9480700,873.0
-41.6370900,145.9480600,873.0
-41.6371200,145.9480600,873.0
-41.6371500,145.9480600,873.0
-41.6371900,145.9480600,873.0
-41.6372300,145.9480500,873.0
-41.6372600,145.9480500,873.0
-41.6372900,145.9480400,873.0
-41.6373200,145.9480300,873.0
-41.6373500,145.9480200,873.0
-41.6373900,145.9480100,873.0
-41.6374200,145.9479800,874.0
-41.6374500,145.9479600,874.0
-41.6374700,145.9479600,874.0
-41.6375000,145.9479800,873.0
-41.6375300,145.9480100,872.0
-41.6375700,145.9480200,872.0
-41.6376000,145.9480300,872.0
-41.6376300,145.9480500,871.0
-41.6376700,145.9480500,871.0
-41.6377100,145.9480500,871.0
-41.6377400,145.9480500,871.0
-41.6377700,145.9480500,871.0
-41.6378000,145.9480400,871.0
-41.6378400,145.9480300,871.0
-41.6378800,145.9480200,872.0
-41.6379300,145.9479900,872.0
-41.6379600,145.9479700,873.0
-41.6379900,145.9479300,873.0
-41.6380200,145.9479000,874.0
-41.6380500,145.9478600,874.0
-41.6380700,145.9478200,875.0
-41.6380900,145.9477900,875.0
-41.6381100,145.9477700,875.0
-41.6381400,145.9477500,876.0
-41.6381700,145.9477500,875.0
-41.6382000,145.9477600,875.0
-41.6382400,145.9477600,875.0
-41.6382600,145.9477600,875.0
-41.6383000,145.9477500,875.0
-41.6383400,145.9477400,875.0
-41.6383700,145.9477300,875.0
-41.6384100,145.9477200,874.0
-41.6384400,145.9477100,874.0
-41.6384700,145.9476900,874.0
-41.6385000,145.9476800,874.0
-41.6385300,145.9476500,874.0
-41.6385600,145.9476300,874.0
-41.6385800,145.9476000,874.0
-41.6386100,145.9475800,874.0
-41.6386300,145.9475400,874.0
-41.6386500,145.9475100,874.0
-41.6386700,145.9474800,874.0
-41.6387000,145.9474400,874.0
-41.6387200,145.9474100,874.0
-41.6387500,145.9473900,873.0
-41.6387800,145.9473700,873.0
-41.6388100,145.9473500,873.0
-41.6388500,145.9473300,873.0
-41.6388800,145.9473200,873.0
-41.6389100,145.9473000,873.0
-41.6389300,145.9472900,873.0
-41.6389700,145.9472700,873.0
-41.6390100,145.9472500,874.0
-41.6390300,145.9472400,874.0
-41.6390600,145.9472200,874.0
-41.6390900,145.9472000,874.0
-41.6391200,145.9471900,875.0
-41.6391500,145.9471700,875.0
-41.6391800,145.9471600,875.0
-41.6392200,145.9471400,876.0
-41.6392600,145.9471300,876.0
-41.6392900,145.9471300,876.0
-41.6393200,145.9471200,877.0
-41.6393500,145.9471000,877.0
-41.6393800,145.9470800,877.0
-41.6394000,145.9470500,878.0
-41.6394200,145.9470200,878.0
-41.6394400,145.9469900,879.0
-41.6394700,145.9469700,879.0
-41.6394900,145.9469400,879.0
-41.6395100,145.9469100,880.0
-41.6397900,145.9466300,881.0
-41.6398200,145.9466100,880.0
-41.6398400,145.9465800,880.0
-41.6398700,145.9465600,880.0
-41.6398900,145.9465300,879.0
-41.6399200,145.9464900,879.0
-41.6399600,145.9464300,878.0
-41.6400000,145.9464000,878.0
-41.6400300,145.9463700,877.0
-41.6400500,145.9463400,878.0
-41.6400800,145.9463100,878.0
-41.6401100,145.9462800,878.0
-41.6401300,145.9462400,878.0
-41.6401600,145.9462200,878.0
-41.6401900,145.9461900,878.0
-41.6402100,145.9461700,878.0
-41.6402400,145.9461500,877.0
-41.6402600,145.9461300,877.0
-41.6402800,145.9461100,878.0
-41.6403100,145.9460800,878.0
-41.6403300,145.9460500,878.0
-41.6403600,145.9460300,879.0
-41.6403900,145.9460100,879.0
-41.6404200,145.9459900,879.0
-41.6404500,145.9459800,880.0
-41.6404900,145.9459600,880.0
-41.6405200,145.9459300,880.0
-41.6405600,145.9459100,881.0
-41.6405900,145.9458800,881.0
-41.6406200,145.9458400,881.0
-41.6406500,145.9458100,881.0
-41.6406700,145.9457600,881.0
-41.6406800,145.9457200,881.0
-41.6406800,145.9456700,881.0
-41.6406800,145.9456400,881.0
-41.6406600,145.9456000,881.0
-41.6406400,145.9455800,881.0
-41.6406500,145.9455400,882.0
-41.6406700,145.9455200,882.0
-41.6407000,145.9455000,882.0
-41.6407300,145.9454700,882.0
-41.6407600,145.9454600,882.0
-41.6407900,145.9454400,882.0
-41.6408200,145.9454200,882.0
-41.6408400,145.9454000,882.0
-41.6408700,145.9453800,882.0
-41.6408800,145.9453500,882.0
-41.6409100,145.9453300,882.0
-41.6409400,145.9453000,882.0
-41.6409700,145.9452800,882.0
-41.6409900,145.9452500,883.0
-41.6410200,145.9452100,883.0
-41.6410400,145.9451700,883.0
-41.6410600,145.9451400,883.0
-41.6410900,145.9451100,884.0
-41.6411100,145.9450800,884.0
-41.6411400,145.9450500,884.0
-41.6412600,145.9448800,885.0
