Latitude,Longitude,Elevation
-41.6504300,145.9615300,942.0
-41.6504800,145.9616200,941.0
-41.6504700,145.9616400,941.0
-41.6506000,145.9617900,940.0
-41.6506900,145.9619200,940.0
-41.6507900,145.9622800,939.0
-41.6508300,145.9624600,939.0
-41.6508800,145.9625300,939.0
-41.6510100,145.9626000,939.0
-41.6511800,145.9628300,940.0
-41.6512200,145.9629900,941.0
-41.6512600,145.9631500,943.0
-41.6517800,145.9639400,941.0
-41.6521300,145.9641000,940.0
-41.6524100,145.9641500,940.0
-41.6524800,145.9641900,940.0
-41.6529300,145.9643800,941.0
-41.6531600,145.9644500,944.0
-41.6535100,145.9641600,949.0
-41.6536700,145.9641400,952.0
-41.6537200,145.9641300,952.0
-41.6537700,145.9642600,954.0
-41.6537600,145.9644400,955.0
-41.6538100,145.9645200,956.0
-41.6538400,145.9646000,957.0
-41.6539300,145.9646400,958.0
-41.6540000,145.9646700,959.0
-41.6542500,145.9647000,960.0
-41.6545000,145.9643400,955.0
-41.6548200,145.9643100,952.0
-41.6550100,145.9642900,951.0
-41.6551200,145.9643100,950.0
-41.6553700,145.9642800,948.0
-41.6556300,145.9643800,949.0
-41.6559300,145.9644100,946.0
-41.6563400,145.9645700,947.0
-41.6569600,145.9647300,949.0
-41.6574000,145.9648000,950.0
-41.6579400,145.9648700,947.0
-41.6588500,145.9649000,947.0
-41.6589500,145.9648600,944.0
-41.6593500,145.9649200,944.0
-41.6597700,145.9650700,946.0
-41.6602300,145.9651800,944.0
-41.6607900,145.9651900,946.0
-41.6612200,145.9652100,943.0
-41.6619100,145.9654800,946.0
-41.6622600,145.9656400,950.0
-41.6627600,145.9658200,949.0
-41.6633600,145.9658700,956.0
-41.6636300,145.9658900,946.0
-41.6644400,145.9660000,953.0
-41.6653800,145.9659400,955.0
-41.6658800,145.9657800,961.0
-41.6663500,145.9653100,963.0
-41.6667800,145.9650700,957.0
-41.6672100,145.9647900,965.0
-41.6680600,145.9637600,945.0
-41.6684600,145.9633500,943.0
-41.6687300,145.9631900,945.0
-41.6692000,145.9627500,946.0
-41.6691900,145.9624400,942.0
-41.6695100,145.9621000,945.0
-41.6697100,145.9620500,945.0
-41.6699000,145.9618800,948.0
-41.6697700,145.9612000,951.0
-41.6697100,145.9611700,950.0
-41.6697300,145.9608100,951.0
-41.6697900,145.9607600,951.0
-41.6697600,145.9604600,948.0
-41.6698000,145.9601400,944.0
-41.6698100,145.9597700,944.0
-41.6698300,145.9595900,945.0
-41.6699100,145.9594300,949.0
-41.6699200,145.9591200,947.0
-41.6698300,145.9587200,944.0
-41.6697600,145.9586100,942.0
-41.6696700,145.9582700,941.0
-41.6694700,145.9580700,939.0
-41.6694500,145.9579700,939.0
-41.6694600,145.9578500,939.0
-41.6694800,145.9576700,941.0
-41.6693800,145.9574400,943.0
-41.6693200,145.9573800,943.0
-41.6693000,145.9573100,943.0
