Latitude,Longitude,Elevation
-41.6589100,145.9574000,941.0
-41.6587800,145.9574100,941.0
-41.6586800,145.9574200,941.0
-41.6584600,145.9573700,942.0
-41.6582800,145.9574100,941.0
-41.6581600,145.9574700,941.0
-41.6580400,145.9574800,943.0
-41.6579200,145.9575200,944.0
-41.6577800,145.9576000,944.0
-41.6576400,145.9576600,942.0
-41.6575200,145.9577300,940.0
-41.6574200,145.9577800,940.0
-41.6573100,145.9578300,941.0
-41.6572200,145.9579100,941.0
-41.6571300,145.9579700,942.0
-41.6570400,145.9580200,943.0
-41.6569400,145.9581200,943.0
-41.6568600,145.9581600,942.0
-41.6567400,145.9582000,942.0
-41.6566400,145.9582300,941.0
-41.6565300,145.9582400,941.0
-41.6564400,145.9582700,940.0
-41.6563200,145.9583300,939.0
-41.6563100,145.9583400,939.0
-41.6562500,145.9584000,939.0
-41.6561400,145.9584500,940.0
-41.6560500,145.9585000,939.0
-41.6560200,145.9585000,939.0
-41.6559700,145.9585000,939.0
-41.6559300,145.9585100,939.0
-41.6559100,145.9585100,939.0
-41.6558800,145.9585200,939.0
-41.6558300,145.9585300,939.0
-41.6557900,145.9585200,939.0
-41.6557400,145.9585200,939.0
-41.6556900,145.9585200,939.0
-41.6556600,145.9585200,940.0
-41.6556500,145.9585200,940.0
-41.6556000,145.9585300,940.0
-41.6555600,145.9585400,940.0
-41.6555400,145.9585500,940.0
-41.6554700,145.9585800,940.0
-41.6553800,145.9586300,941.0
-41.6553200,145.9586500,941.0
-41.6552900,145.9586600,942.0
-41.6552600,145.9586900,942.0
-41.6552500,145.9587000,942.0
-41.6552200,145.9587500,942.0
-41.6552100,145.9587700,942.0
-41.6551900,145.9588000,942.0
-41.6551700,145.9588100,942.0
-41.6551500,145.9588300,941.0
-41.6551100,145.9588600,941.0
-41.6550900,145.9588800,941.0
-41.6550800,145.9589100,941.0
-41.6550500,145.9589600,940.0
-41.6550400,145.9589700,940.0
-41.6550200,145.9590000,940.0
-41.6549800,145.9590300,939.0
-41.6549300,145.9590600,939.0
-41.6549000,145.9590900,939.0
-41.6548800,145.9591000,939.0
-41.6548600,145.9591200,939.0
-41.6548200,145.9591600,939.0
-41.6547800,145.9591900,939.0
-41.6547600,145.9592100,939.0
-41.6546800,145.9592100,939.0
-41.6546100,145.9592000,939.0
-41.6546000,145.9592000,939.0
-41.6545600,145.9591900,939.0
-41.6545500,145.9591800,939.0
-41.6545100,145.9591800,939.0
-41.6544900,145.9591800,939.0
-41.6544700,145.9591800,939.0
-41.6544200,145.9591900,940.0
-41.6544200,145.9592000,939.0
-41.6543800,145.9592300,940.0
