"BehaviorSpace results (NetLogo 6.2.2)"
"cradlemountain - attractionrad.nlogo"
"ar-sensitivity"
"10/23/2022 18:32:15:920 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-260","260","-140","140"
"[run number]","tourist-count","shortcutting-tourists","shortcut-threshold","test-regrowth-after","deviation-chance","vegetation-growth-rate","attraction-exploration-radius","damage-per-step","attraction-exploration-time","[step]","ticks","count patches with [vegetation-health < 5 and not path? and not lake?]","happiness-avg / happiness-count","vegetation-decile 1","vegetation-decile 2","vegetation-decile 3","vegetation-decile 4","vegetation-decile 5","vegetation-decile 6","vegetation-decile 7","vegetation-decile 8","vegetation-decile 9","vegetation-decile 10"
"3","500","5","60","0","1.5","15","3.15","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"4","500","5","60","0","1.5","15","2.85","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"2","500","5","60","0","1.5","15","3.15","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"6","500","5","60","0","1.5","15","2.85","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"5","500","5","60","0","1.5","15","2.85","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"1","500","5","60","0","1.5","15","3.15","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"4","500","5","60","0","1.5","15","2.85","1","20","1","0","608","99.8","631","50","48","69","90","100","159","211","476","127153"
"2","500","5","60","0","1.5","15","3.15","1","20","1","0","639","99.8","662","39","56","82","80","115","158","220","572","127003"
"3","500","5","60","0","1.5","15","3.15","1","20","1","0","639","99.8","660","56","48","67","97","115","143","211","548","127042"
"5","500","5","60","0","1.5","15","2.85","1","20","1","0","607","99.8","619","58","55","52","80","114","142","232","542","127093"
"6","500","5","60","0","1.5","15","2.85","1","20","1","0","591","99.8","616","53","54","63","86","114","145","230","575","127051"
"1","500","5","60","0","1.5","15","3.15","1","20","1","0","632","99.8","659","53","64","73","87","130","152","242","534","126993"
"4","500","5","60","0","1.5","15","2.85","1","20","2","1","902","99.89989989989989","921","64","86","68","92","117","184","281","985","126189"
"2","500","5","60","0","1.5","15","3.15","1","20","2","1","960","99.89989989989989","978","77","68","73","103","129","205","326","1123","125905"
"3","500","5","60","0","1.5","15","3.15","1","20","2","1","959","99.89989989989989","989","64","70","88","104","118","179","324","1029","126022"
"5","500","5","60","0","1.5","15","2.85","1","20","2","1","912","99.89989989989989","929","63","66","82","92","134","184","343","1164","125930"
"6","500","5","60","0","1.5","15","2.85","1","20","2","1","890","99.89989989989989","914","57","67","86","84","133","175","332","960","126179"
"1","500","5","60","0","1.5","15","3.15","1","20","2","1","955","99.89989989989989","972","76","78","86","99","134","177","345","973","126047"
"4","500","5","60","0","1.5","15","2.85","1","20","3","2","1116","99.93324432576769","1139","58","64","79","122","141","209","454","1371","125350"
"5","500","5","60","0","1.5","15","2.85","1","20","3","2","1108","99.93324432576769","1127","57","80","88","112","153","245","452","1521","125152"
"2","500","5","60","0","1.5","15","3.15","1","20","3","2","1171","99.93324432576769","1199","57","55","95","117","172","214","480","1641","124957"
"3","500","5","60","0","1.5","15","3.15","1","20","3","2","1181","99.93324432576769","1208","54","63","102","103","154","235","474","1653","124941"
"6","500","5","60","0","1.5","15","2.85","1","20","3","2","1116","99.93324432576769","1148","51","70","81","120","135","239","493","1456","125194"
"1","500","5","60","0","1.5","15","3.15","1","20","3","2","1185","99.93324432576769","1212","67","71","95","102","155","243","498","1619","124925"
"4","500","5","60","0","1.5","15","2.85","1","20","4","3","1254","99.949924887331","1284","69","71","97","116","161","306","562","1792","124529"
"5","500","5","60","0","1.5","15","2.85","1","20","4","3","1270","99.949924887331","1300","62","81","102","128","195","292","614","1810","124403"
"2","500","5","60","0","1.5","15","3.15","1","20","4","3","1321","99.949924887331","1344","69","91","96","136","179","285","634","2025","124128"
"3","500","5","60","0","1.5","15","3.15","1","20","4","3","1330","99.949924887331","1360","74","77","93","137","174","306","616","2284","123866"
"6","500","5","60","0","1.5","15","2.85","1","20","4","3","1288","99.949924887331","1310","72","83","89","131","167","312","686","2399","123738"
"1","500","5","60","0","1.5","15","3.15","1","20","4","3","1338","99.949924887331","1363","61","77","117","126","181","327","602","2077","124056"
"4","500","5","60","0","1.5","15","2.85","1","20","5","4","1396","99.9599358974359","1427","67","76","91","145","211","374","779","2298","123519"
"5","500","5","60","0","1.5","15","2.85","1","20","5","4","1405","99.9599358974359","1436","62","82","126","159","226","370","771","2129","123626"
"2","500","5","60","0","1.5","15","3.15","1","20","5","4","1448","99.9599358974359","1477","68","88","129","159","212","369","697","2071","123717"
"3","500","5","60","0","1.5","15","3.15","1","20","5","4","1464","99.9599358974359","1491","81","87","100","147","232","391","756","2702","123000"
"6","500","5","60","0","1.5","15","2.85","1","20","5","4","1424","99.9599358974359","1447","68","85","107","138","245","393","761","2877","122866"
"1","500","5","60","0","1.5","15","3.15","1","20","5","4","1473","99.9599358974359","1499","77","85","118","147","239","361","768","2377","123316"
"4","500","5","60","0","1.5","15","2.85","1","20","6","5","1487","99.96661101836393","1515","77","82","115","173","272","398","930","2554","122871"
"5","500","5","60","0","1.5","15","2.85","1","20","6","5","1523","99.96661101836393","1551","72","112","137","184","272","420","879","2439","122921"
"2","500","5","60","0","1.5","15","3.15","1","20","6","5","1559","99.96661101836393","1584","68","116","144","182","257","399","773","2081","123383"
"3","500","5","60","0","1.5","15","3.15","1","20","6","5","1591","99.96661101836393","1620","85","85","128","174","268","456","931","2614","122626"
"6","500","5","60","0","1.5","15","2.85","1","20","6","5","1518","99.96661101836393","1544","84","87","119","190","278","449","905","2744","122587"
"1","500","5","60","0","1.5","15","3.15","1","20","6","5","1576","99.96661101836393","1604","77","100","131","206","255","387","852","2474","122901"
"2","500","5","60","0","1.5","15","3.15","1","20","7","6","1662","99.97137950772753","1696","99","123","151","192","304","455","851","2228","122888"
"4","500","5","60","0","1.5","15","2.85","1","20","7","6","1579","99.97137950772753","1604","76","107","131","194","304","454","980","2442","122695"
"3","500","5","60","0","1.5","15","3.15","1","20","7","6","1695","99.97137950772753","1721","75","108","147","228","274","499","1069","2474","122392"
"5","500","5","60","0","1.5","15","2.85","1","20","7","6","1616","99.97137950772753","1645","94","120","148","222","277","479","895","2490","122617"
