"BehaviorSpace results (NetLogo 6.2.2)"
"cradlemountain - deviation.nlogo"
"dv-sensitivity"
"10/23/2022 18:31:25:197 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-260","260","-140","140"
"[run number]","tourist-count","shortcutting-tourists","shortcut-threshold","test-regrowth-after","deviation-chance","vegetation-growth-rate","attraction-exploration-radius","damage-per-step","attraction-exploration-time","[step]","ticks","count patches with [vegetation-health < 5 and not path? and not lake?]","happiness-avg / happiness-count","vegetation-decile 1","vegetation-decile 2","vegetation-decile 3","vegetation-decile 4","vegetation-decile 5","vegetation-decile 6","vegetation-decile 7","vegetation-decile 8","vegetation-decile 9","vegetation-decile 10"
"2","500","5","60","0","1.575","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"3","500","5","60","0","1.575","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"5","500","5","60","0","1.425","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"1","500","5","60","0","1.575","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"6","500","5","60","0","1.425","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"4","500","5","60","0","1.425","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"5","500","5","60","0","1.425","15","3","1","20","1","0","610","99.8","626","60","43","61","96","106","142","187","539","127127"
"3","500","5","60","0","1.575","15","3","1","20","1","0","616","99.8","642","56","57","74","94","121","151","220","559","127013"
"2","500","5","60","0","1.575","15","3","1","20","1","0","621","99.8","638","46","59","90","85","128","165","216","575","126985"
"1","500","5","60","0","1.575","15","3","1","20","1","0","621","99.8","636","54","61","68","99","129","171","223","590","126956"
"4","500","5","60","0","1.425","15","3","1","20","1","0","635","99.8","642","60","57","71","106","96","171","232","574","126978"
"6","500","5","60","0","1.425","15","3","1","20","1","0","632","99.8","654","48","60","59","109","108","159","212","515","127063"
"5","500","5","60","0","1.425","15","3","1","20","2","1","945","99.89989989989989","963","70","71","69","94","127","186","334","1044","126029"
"3","500","5","60","0","1.575","15","3","1","20","2","1","946","99.89989989989989","967","68","60","102","97","108","174","358","1022","126031"
"2","500","5","60","0","1.575","15","3","1","20","2","1","963","99.89989989989989","992","55","74","81","95","117","199","351","1151","125872"
"1","500","5","60","0","1.575","15","3","1","20","2","1","946","99.89989989989989","970","69","67","98","109","124","172","346","1009","126023"
"4","500","5","60","0","1.425","15","3","1","20","2","1","944","99.89989989989989","968","56","86","91","99","148","167","328","1244","125800"
"6","500","5","60","0","1.425","15","3","1","20","2","1","937","99.89989989989989","961","54","76","73","94","129","159","315","989","126137"
"5","500","5","60","0","1.425","15","3","1","20","3","2","1162","99.93324432576769","1181","58","69","89","101","154","237","521","1684","124893"
"2","500","5","60","0","1.575","15","3","1","20","3","2","1176","99.93324432576769","1199","55","73","86","107","161","263","496","1855","124692"
"3","500","5","60","0","1.575","15","3","1","20","3","2","1168","99.93324432576769","1193","57","52","89","108","172","244","426","1625","125021"
"1","500","5","60","0","1.575","15","3","1","20","3","2","1190","99.93324432576769","1209","64","70","84","112","159","228","465","1503","125093"
"4","500","5","60","0","1.425","15","3","1","20","3","2","1177","99.93324432576769","1201","63","70","92","113","151","246","514","2131","124406"
"6","500","5","60","0","1.425","15","3","1","20","3","2","1148","99.93324432576769","1164","70","68","79","108","122","227","434","1444","125271"
"2","500","5","60","0","1.575","15","3","1","20","4","3","1318","99.949924887331","1340","57","76","109","142","195","309","664","2216","123879"
"5","500","5","60","0","1.425","15","3","1","20","4","3","1310","99.949924887331","1331","62","82","81","133","192","320","636","2330","123820"
"3","500","5","60","0","1.575","15","3","1","20","4","3","1320","99.949924887331","1342","52","75","121","135","178","306","604","2108","124066"
"1","500","5","60","0","1.575","15","3","1","20","4","3","1338","99.949924887331","1362","72","85","100","139","177","322","613","2086","124031"
"4","500","5","60","0","1.425","15","3","1","20","4","3","1319","99.949924887331","1353","70","78","95","139","178","317","818","2566","123373"
