"BehaviorSpace results (NetLogo 6.2.2)"
"cradlemountain - shortcutters.nlogo"
"sc-sensitivity"
"10/23/2022 18:37:19:251 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-260","260","-140","140"
"[run number]","tourist-count","shortcutting-tourists","shortcut-threshold","test-regrowth-after","deviation-chance","vegetation-growth-rate","attraction-exploration-radius","damage-per-step","attraction-exploration-time","[step]","ticks","count patches with [vegetation-health < 5 and not path? and not lake?]","happiness-avg / happiness-count","vegetation-decile 1","vegetation-decile 2","vegetation-decile 3","vegetation-decile 4","vegetation-decile 5","vegetation-decile 6","vegetation-decile 7","vegetation-decile 8","vegetation-decile 9","vegetation-decile 10"
"6","500","5.25","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"4","500","5.25","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"5","500","5.25","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"2","500","4.75","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"3","500","4.75","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"1","500","4.75","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"6","500","5.25","60","0","1.5","15","3","1","20","1","0","613","99.8","635","63","58","53","81","120","161","232","570","127014"
"4","500","5.25","60","0","1.5","15","3","1","20","1","0","633","99.8","657","55","54","67","97","114","150","226","611","126956"
"2","500","4.75","60","0","1.5","15","3","1","20","1","0","612","99.8","624","58","72","60","97","139","131","238","543","127025"
"5","500","5.25","60","0","1.5","15","3","1","20","1","0","615","99.8","635","55","53","63","113","93","165","239","534","127037"
"3","500","4.75","60","0","1.5","15","3","1","20","1","0","619","99.8","637","50","70","89","81","128","153","224","579","126976"
"1","500","4.75","60","0","1.5","15","3","1","20","1","0","614","99.8","635","58","46","75","79","118","159","242","492","127083"
"6","500","5.25","60","0","1.5","15","3","1","20","2","1","940","99.89989989989989","967","55","79","92","98","130","186","325","1052","126003"
"2","500","4.75","60","0","1.5","15","3","1","20","2","1","944","99.89989989989989","964","65","89","79","88","133","167","324","979","126099"
"4","500","5.25","60","0","1.5","15","3","1","20","2","1","947","99.89989989989989","971","72","72","69","109","120","194","359","1117","125904"
"3","500","4.75","60","0","1.5","15","3","1","20","2","1","942","99.89989989989989","962","55","70","91","95","115","168","346","1097","125988"
"5","500","5.25","60","0","1.5","15","3","1","20","2","1","941","99.89989989989989","967","57","71","84","101","140","166","303","968","126130"
"1","500","4.75","60","0","1.5","15","3","1","20","2","1","922","99.89989989989989","950","76","86","70","98","130","157","338","931","126151"
"6","500","5.25","60","0","1.5","15","3","1","20","3","2","1153","99.93324432576769","1180","68","75","86","95","149","228","471","1520","125115"
"4","500","5.25","60","0","1.5","15","3","1","20","3","2","1162","99.93324432576769","1188","69","68","76","130","154","243","453","1588","125018"
"2","500","4.75","60","0","1.5","15","3","1","20","3","2","1152","99.93324432576769","1176","62","70","86","115","149","224","476","1540","125089"
"5","500","5.25","60","0","1.5","15","3","1","20","3","2","1150","99.93324432576769","1174","66","87","87","102","143","221","469","1546","125092"
"3","500","4.75","60","0","1.5","15","3","1","20","3","2","1151","99.93324432576769","1170","67","73","93","106","130","231","529","1653","124935"
"1","500","4.75","60","0","1.5","15","3","1","20","3","2","1148","99.93324432576769","1177","71","66","82","97","150","253","422","1445","125224"
"6","500","5.25","60","0","1.5","15","3","1","20","4","3","1313","99.949924887331","1336","73","76","83","128","176","290","649","1882","124294"
"4","500","5.25","60","0","1.5","15","3","1","20","4","3","1328","99.949924887331","1355","55","79","102","127","196","308","571","1909","124285"
"2","500","4.75","60","0","1.5","15","3","1","20","4","3","1319","99.949924887331","1339","51","94","99","129","174","312","643","2250","123896"
"3","500","4.75","60","0","1.5","15","3","1","20","4","3","1286","99.949924887331","1322","74","70","88","119","184","311","623","1934","124262"
"5","500","5.25","60","0","1.5","15","3","1","20","4","3","1307","99.949924887331","1333","86","66","93","129","163","325","620","2075","124097"
"1","500","4.75","60","0","1.5","15","3","1","20","4","3","1305","99.949924887331","1328","56","85","90","119","202","294","593","1930","124290"
"6","500","5.25","60","0","1.5","15","3","1","20","5","4","1425","99.9599358974359","1452","71","76","110","161","221","359","726","2038","123773"
"2","500","4.75","60","0","1.5","15","3","1","20","5","4","1440","99.9599358974359","1460","77","84","124","155","207","363","762","2569","123186"
"4","500","5.25","60","0","1.5","15","3","1","20","5","4","1441","99.9599358974359","1459","75","97","106","160","221","352","660","2032","123825"
"3","500","4.75","60","0","1.5","15","3","1","20","5","4","1428","99.9599358974359","1455","69","86","101","153","221","355","708","2068","123771"
"5","500","5.25","60","0","1.5","15","3","1","20","5","4","1455","99.9599358974359","1475","58","87","121","144","220","358","776","2459","123289"
"1","500","4.75","60","0","1.5","15","3","1","20","5","4","1439","99.9599358974359","1459","76","86","115","148","209","362","794","2573","123165"
"6","500","5.25","60","0","1.5","15","3","1","20","6","5","1545","99.96661101836393","1566","70","92","129","192","260","422","798","2027","123431"
"4","500","5.25","60","0","1.5","15","3","1","20","6","5","1560","99.96661101836393","1589","79","108","136","185","248","398","803","2143","123298"
"2","500","4.75","60","0","1.5","15","3","1","20","6","5","1556","99.96661101836393","1590","64","91","138","174","259","426","895","2566","122784"
"3","500","4.75","60","0","1.5","15","3","1","20","6","5","1554","99.96661101836393","1582","75","82","127","187","264","420","771","2212","123267"
"5","500","5.25","60","0","1.5","15","3","1","20","6","5","1555","99.96661101836393","1576","81","99","133","181","255","447","911","2783","122521"
"1","500","4.75","60","0","1.5","15","3","1","20","6","5","1536","99.96661101836393","1557","90","102","109","189","251","404","864","2714","122707"
"6","500","5.25","60","0","1.5","15","3","1","20","7","6","1618","99.97137950772753","1651","96","100","157","212","272","444","832","1972","123251"
"4","500","5.25","60","0","1.5","15","3","1","20","7","6","1663","99.97137950772753","1694","83","120","138","224","256","467","856","2294","122855"
"2","500","4.75","60","0","1.5","15","3","1","20","7","6","1650","99.97137950772753","1676","97","93","137","211","273","476","972","2200","122852"
"5","500","5.25","60","0","1.5","15","3","1","20","7","6","1650","99.97137950772753","1680","85","114","161","188","291","521","952","2846","122149"
"3","500","4.75","60","0","1.5","15","3","1","20","7","6","1646","99.97137950772753","1680","72","103","156","221","281","439","847","2136","123052"
"6","500","5.25","60","0","1.5","15","3","1","20","8","7","1723","99.97119959929877","1753","100","113","168","231","298","431","774","1643","123476"
"4","500","5.25","60","0","1.5","15","3","1","20","8","7","1759","99.95467067367893","1790","105","132","180","186","310","484","882","2250","122668"
"2","500","4.75","60","0","1.5","15","3","1","20","8","7","1742","99.73678938141748","1772","97","108","163","248","294","471","1006","1980","122848"
"1","500","4.75","60","0","1.5","15","3","1","20","7","6","1635","99.97137950772753","1671","87","100","152","209","261","443","841","2260","122963"
