"BehaviorSpace results (NetLogo 6.2.2)"
"cradlemountain.nlogo"
"aet-sensitivity"
"10/23/2022 21:09:20:553 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-260","260","-140","140"
"[run number]","tourist-count","shortcutting-tourists","shortcut-threshold","test-regrowth-after","deviation-chance","vegetation-growth-rate","attraction-exploration-radius","damage-per-step","attraction-exploration-time","[step]","ticks","count patches with [vegetation-health < 5 and not path? and not lake?]","happiness-avg / happiness-count","vegetation-decile 1","vegetation-decile 2","vegetation-decile 3","vegetation-decile 4","vegetation-decile 5","vegetation-decile 6","vegetation-decile 7","vegetation-decile 8","vegetation-decile 9","vegetation-decile 10"
"3","500","5","60","0","1.5","15","3","1","19","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"2","500","5","60","0","1.5","15","3","1","19","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"4","500","5","60","0","1.5","15","3","1","21","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"5","500","5","60","0","1.5","15","3","1","21","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"1","500","5","60","0","1.5","15","3","1","19","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"6","500","5","60","0","1.5","15","3","1","21","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"4","500","5","60","0","1.5","15","3","1","21","1","0","615","99.8","634","51","71","68","82","122","145","228","562","127024"
"3","500","5","60","0","1.5","15","3","1","19","1","0","623","99.8","635","61","65","68","103","123","151","243","562","126976"
"2","500","5","60","0","1.5","15","3","1","19","1","0","601","99.8","619","50","62","76","107","96","159","236","492","127090"
"1","500","5","60","0","1.5","15","3","1","19","1","0","617","99.8","632","49","56","83","102","105","138","257","521","127044"
"6","500","5","60","0","1.5","15","3","1","21","1","0","647","99.8","658","59","59","79","100","121","163","244","577","126927"
"5","500","5","60","0","1.5","15","3","1","21","1","0","624","99.8","640","72","56","76","80","116","150","240","606","126951"
"4","500","5","60","0","1.5","15","3","1","21","2","1","944","99.89989989989989","972","54","73","95","89","116","199","344","944","126101"
"3","500","5","60","0","1.5","15","3","1","19","2","1","935","99.89989989989989","963","65","69","89","102","126","180","348","1063","125982"
"2","500","5","60","0","1.5","15","3","1","19","2","1","932","99.89989989989989","958","67","87","84","99","114","179","326","1109","125964"
"1","500","5","60","0","1.5","15","3","1","19","2","1","932","99.89989989989989","962","63","63","72","105","150","173","276","1067","126056"
"6","500","5","60","0","1.5","15","3","1","21","2","1","976","99.89989989989989","1005","64","68","97","100","129","178","340","1326","125680"
"5","500","5","60","0","1.5","15","3","1","21","2","1","959","99.89989989989989","983","62","76","83","102","123","175","340","1104","125939"
"4","500","5","60","0","1.5","15","3","1","21","3","2","1178","99.93324432576769","1198","63","71","83","106","172","253","431","1625","124985"
"3","500","5","60","0","1.5","15","3","1","19","3","2","1169","99.93324432576769","1197","61","71","108","111","127","268","504","1864","124676"
"2","500","5","60","0","1.5","15","3","1","19","3","2","1157","99.93324432576769","1189","66","69","77","108","160","225","456","1708","124929"
"1","500","5","60","0","1.5","15","3","1","19","3","2","1146","99.93324432576769","1179","64","67","96","119","145","213","481","1802","124821"
"6","500","5","60","0","1.5","15","3","1","21","3","2","1177","99.93324432576769","1209","63","70","91","106","144","245","471","1934","124654"
"5","500","5","60","0","1.5","15","3","1","21","3","2","1180","99.93324432576769","1205","54","79","93","117","155","244","487","1734","124819"
"4","500","5","60","0","1.5","15","3","1","21","4","3","1331","99.949924887331","1348","62","85","104","143","197","275","597","2288","123888"
"3","500","5","60","0","1.5","15","3","1","19","4","3","1328","99.949924887331","1347","76","88","86","128","207","311","643","2472","123629"
"2","500","5","60","0","1.5","15","3","1","19","4","3","1319","99.949924887331","1344","61","75","94","142","169","292","628","2282","123900"
"1","500","5","60","0","1.5","15","3","1","19","4","3","1316","99.949924887331","1339","76","74","98","123","178","292","713","2348","123746"
"6","500","5","60","0","1.5","15","3","1","21","4","3","1325","99.949924887331","1355","69","66","99","138","182","298","626","2143","124011"
"5","500","5","60","0","1.5","15","3","1","21","4","3","1334","99.949924887331","1358","75","80","99","146","191","292","645","2412","123689"
"4","500","5","60","0","1.5","15","3","1","21","5","4","1462","99.9599358974359","1485","64","106","127","146","215","345","829","2641","123029"
"3","500","5","60","0","1.5","15","3","1","19","5","4","1461","99.9599358974359","1483","67","81","125","169","233","363","783","2766","122917"
"2","500","5","60","0","1.5","15","3","1","19","5","4","1449","99.9599358974359","1475","71","85","105","153","210","365","812","2661","123050"
"1","500","5","60","0","1.5","15","3","1","19","5","4","1431","99.9599358974359","1457","74","93","117","149","206","369","792","2473","123257"
"6","500","5","60","0","1.5","15","3","1","21","5","4","1465","99.9599358974359","1486","71","84","105","164","207","389","843","2281","123357"
"5","500","5","60","0","1.5","15","3","1","21","5","4","1473","99.9599358974359","1497","72","88","123","156","220","372","827","2826","122806"
"4","500","5","60","0","1.5","15","3","1","21","6","5","1569","99.96661101836393","1612","74","101","121","191","235","407","969","2639","122638"
"3","500","5","60","0","1.5","15","3","1","19","6","5","1559","99.96661101836393","1583","82","107","145","188","271","429","1039","2720","122423"
