"BehaviorSpace results (NetLogo 6.2.2)"
"cradlemountain - shortcutters.nlogo"
"dps-sensitivity"
"10/23/2022 20:46:29:477 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-260","260","-140","140"
"[run number]","tourist-count","shortcutting-tourists","shortcut-threshold","test-regrowth-after","deviation-chance","vegetation-growth-rate","attraction-exploration-radius","damage-per-step","attraction-exploration-time","[step]","ticks","count patches with [vegetation-health < 5 and not path? and not lake?]","happiness-avg / happiness-count","vegetation-decile 1","vegetation-decile 2","vegetation-decile 3","vegetation-decile 4","vegetation-decile 5","vegetation-decile 6","vegetation-decile 7","vegetation-decile 8","vegetation-decile 9","vegetation-decile 10"
"6","500","5","60","0","1.5","15","3","1.05","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"3","500","5","60","0","1.5","15","3","0.95","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"4","500","5","60","0","1.5","15","3","1.05","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"5","500","5","60","0","1.5","15","3","1.05","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"1","500","5","60","0","1.5","15","3","0.95","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"2","500","5","60","0","1.5","15","3","0.95","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"6","500","5","60","0","1.5","15","3","1.05","20","1","0","656","99.8","670","54","58","80","82","141","163","224","623","126892"
"3","500","5","60","0","1.5","15","3","0.95","20","1","0","604","99.8","617","50","45","61","97","102","137","209","461","127208"
"4","500","5","60","0","1.5","15","3","1.05","20","1","0","647","99.8","660","53","64","63","66","114","146","245","514","127062"
"5","500","5","60","0","1.5","15","3","1.05","20","1","0","639","99.8","651","55","44","72","74","121","147","233","536","127054"
"2","500","5","60","0","1.5","15","3","0.95","20","1","0","603","99.8","622","50","67","75","95","110","156","203","563","127046"
"1","500","5","60","0","1.5","15","3","0.95","20","1","0","601","99.8","623","66","50","63","85","139","143","235","561","127022"
"4","500","5","60","0","1.5","15","3","1.05","20","2","1","964","99.89989989989989","987","50","78","78","100","141","176","317","1057","126003"
"6","500","5","60","0","1.5","15","3","1.05","20","2","1","987","99.89989989989989","1011","77","78","90","101","122","164","382","1279","125683"
"3","500","5","60","0","1.5","15","3","0.95","20","2","1","913","99.89989989989989","930","55","69","85","90","113","188","289","976","126192"
"5","500","5","60","0","1.5","15","3","1.05","20","2","1","944","99.89989989989989","963","59","84","81","106","116","187","374","966","126051"
"1","500","5","60","0","1.5","15","3","0.95","20","2","1","944","99.89989989989989","963","70","58","93","92","131","170","327","1109","125974"
"2","500","5","60","0","1.5","15","3","0.95","20","2","1","915","99.89989989989989","936","67","80","80","88","109","197","317","1104","126009"
"4","500","5","60","0","1.5","15","3","1.05","20","3","2","1168","99.93324432576769","1180","61","88","108","99","154","233","478","1635","124951"
"6","500","5","60","0","1.5","15","3","1.05","20","3","2","1218","99.93324432576769","1236","60","68","80","111","156","237","527","1862","124650"
"3","500","5","60","0","1.5","15","3","0.95","20","3","2","1130","99.93324432576769","1151","62","60","86","114","140","223","462","1649","125040"
"5","500","5","60","0","1.5","15","3","1.05","20","3","2","1178","99.93324432576769","1194","65","68","84","128","171","261","496","1611","124909"
"1","500","5","60","0","1.5","15","3","0.95","20","3","2","1169","99.93324432576769","1187","75","62","84","108","138","228","434","1738","124933"
"2","500","5","60","0","1.5","15","3","0.95","20","3","2","1146","99.93324432576769","1169","54","70","88","99","161","231","447","1567","125101"
"4","500","5","60","0","1.5","15","3","1.05","20","4","3","1338","99.949924887331","1357","68","89","96","135","192","292","639","2115","124004"
"3","500","5","60","0","1.5","15","3","0.95","20","4","3","1287","99.949924887331","1301","83","74","88","118","181","284","608","2167","124083"
"5","500","5","60","0","1.5","15","3","1.05","20","4","3","1331","99.949924887331","1352","66","82","99","146","208","313","611","2116","123994"
"6","500","5","60","0","1.5","15","3","1.05","20","4","3","1346","99.949924887331","1374","71","76","86","150","190","302","671","2129","123938"
"1","500","5","60","0","1.5","15","3","0.95","20","4","3","1312","99.949924887331","1340","59","77","97","115","169","292","573","2135","124130"
"2","500","5","60","0","1.5","15","3","0.95","20","4","3","1285","99.949924887331","1307","57","73","83","130","191","285","524","1752","124585"
"4","500","5","60","0","1.5","15","3","1.05","20","5","4","1470","99.9599358974359","1490","77","84","122","148","227","385","770","2523","123161"
"3","500","5","60","0","1.5","15","3","0.95","20","5","4","1413","99.9599358974359","1429","73","72","101","161","188","354","705","2190","123714"
"6","500","5","60","0","1.5","15","3","1.05","20","5","4","1492","99.9599358974359","1513","71","90","112","171","229","432","813","2437","123119"
"5","500","5","60","0","1.5","15","3","1.05","20","5","4","1461","99.9599358974359","1488","68","93","122","192","226","378","748","2154","123518"
"1","500","5","60","0","1.5","15","3","0.95","20","5","4","1424","99.9599358974359","1451","67","90","95","129","218","355","673","2329","123580"
"2","500","5","60","0","1.5","15","3","0.95","20","5","4","1393","99.9599358974359","1420","75","74","111","147","205","345","627","1776","124207"
"4","500","5","60","0","1.5","15","3","1.05","20","6","5","1586","99.96661101836393","1605","79","102","138","183","253","428","889","2683","122627"
"6","500","5","60","0","1.5","15","3","1.05","20","6","5","1593","99.96661101836393","1609","78","109","134","183","290","459","859","2471","122795"
"5","500","5","60","0","1.5","15","3","1.05","20","6","5","1572","99.96661101836393","1595","72","118","144","196","250","432","850","2010","123320"
"3","500","5","60","0","1.5","15","3","0.95","20","6","5","1518","99.96661101836393","1538","87","76","128","157","248","393","732","2184","123444"
"1","500","5","60","0","1.5","15","3","0.95","20","6","5","1523","99.96661101836393","1555","76","74","118","165","265","370","803","2034","123527"
"2","500","5","60","0","1.5","15","3","0.95","20","6","5","1507","99.96661101836393","1534","69","88","137","158","253","386","650","1883","123829"
"4","500","5","60","0","1.5","15","3","1.05","20","7","6","1681","99.97137950772753","1706","119","102","132","214","290","465","852","2626","122481"
"3","500","5","60","0","1.5","15","3","0.95","20","7","6","1609","99.97137950772753","1639","85","97","138","173","298","411","805","2108","123233"
"5","500","5","60","0","1.5","15","3","1.05","20","7","6","1658","99.97137950772753","1687","108","125","147","208","290","425","837","1680","123480"
"6","500","5","60","0","1.5","15","3","1.05","20","7","6","1686","99.97137950772753","1719","83","125","156","203","293","475","837","1989","123107"
"1","500","5","60","0","1.5","15","3","0.95","20","7","6","1623","99.97137950772753","1650","82","84","130","217","266","461","870","1933","123294"
