"BehaviorSpace results (NetLogo 6.2.2)"
"cradlemountain - Copy.nlogo"
"experiment"
"10/23/2022 01:50:53:346 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-260","260","-140","140"
"[run number]","tourist-count","shortcutting-tourists","shortcut-threshold","test-regrowth-after","deviation-chance","vegetation-growth-rate","attraction-exploration-radius","damage-per-step","attraction-exploration-time","[step]","ticks","count patches with [vegetation-health < 5 and not path? and not lake?]","happiness-avg / happiness-count","vegetation-decile 1","vegetation-decile 2","vegetation-decile 3","vegetation-decile 4","vegetation-decile 5","vegetation-decile 6","vegetation-decile 7","vegetation-decile 8","vegetation-decile 9","vegetation-decile 10"
"5","1200","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"4","1400","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"3","1600","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"2","1800","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"1","2000","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"5","1200","5","60","0","1.5","15","3","1","20","1","0","1050","99.91666666666667","1080","83","60","74","114","127","206","391","1415","125437"
"4","1400","5","60","0","1.5","15","3","1","20","1","0","1093","99.92857142857143","1116","66","66","80","121","138","233","421","1217","125529"
"3","1600","5","60","0","1.5","15","3","1","20","1","0","1208","99.93753903810119","1236","52","65","88","120","163","253","522","2058","124430"
"2","1800","5","60","0","1.5","15","3","1","20","1","0","1283","99.94444444444444","1308","69","64","99","129","172","264","572","2216","124094"
"5","1200","5","60","0","1.5","15","3","1","20","2","1","1410","99.95831596498542","1439","73","103","111","124","222","368","868","3345","122334"
"4","1400","5","60","0","1.5","15","3","1","20","2","1","1521","99.96427295462665","1547","75","105","122","160","274","451","1057","4055","121141"
"1","2000","5","60","0","1.5","15","3","1","20","1","0","1351","99.95","1370","55","85","94","133","182","326","719","2756","123267"
"5","1200","5","60","0","1.5","15","3","1","20","3","2","1670","99.9722067815453","1701","87","107","162","223","348","542","1426","4962","119429"
"3","1600","5","60","0","1.5","15","3","1","20","2","1","1609","99.9687597625742","1642","79","115","140","197","289","536","1282","5300","119407"
"4","1400","5","60","0","1.5","15","3","1","20","3","2","1806","99.97617913292044","1833","104","135","204","259","433","721","1780","6141","117377"
