"BehaviorSpace results (NetLogo 6.2.2)"
"cradlemountain - deviation.nlogo"
"experiment"
"10/23/2022 16:39:28:698 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-260","260","-140","140"
"[run number]","tourist-count","shortcutting-tourists","shortcut-threshold","test-regrowth-after","deviation-chance","vegetation-growth-rate","attraction-exploration-radius","damage-per-step","attraction-exploration-time","[step]","ticks","count patches with [vegetation-health < 5 and not path? and not lake?]","happiness-avg / happiness-count","vegetation-decile 1","vegetation-decile 2","vegetation-decile 3","vegetation-decile 4","vegetation-decile 5","vegetation-decile 6","vegetation-decile 7","vegetation-decile 8","vegetation-decile 9","vegetation-decile 10"
"5","500","5","60","0","1","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"6","500","5","60","0","0.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"7","500","5","60","0","0","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"4","500","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"2","500","5","60","0","3","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"3","500","5","60","0","2","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"1","500","5","60","0","5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"5","500","5","60","0","1","15","3","1","20","1","0","613","99.8","629","49","56","75","87","111","139","213","406","127222"
"4","500","5","60","0","1.5","15","3","1","20","1","0","606","99.8","628","45","60","77","88","118","153","208","521","127089"
"2","500","5","60","0","3","15","3","1","20","1","0","630","99.8","648","50","53","93","102","133","191","309","851","126557"
"3","500","5","60","0","2","15","3","1","20","1","0","628","99.8","641","56","63","70","102","112","165","260","712","126806"
"6","500","5","60","0","0.5","15","3","1","20","1","0","623","99.8","642","54","53","74","102","109","139","188","387","127239"
"7","500","5","60","0","0","15","3","1","20","1","0","626","99.8","642","45","51","69","100","90","152","202","359","127277"
"1","500","5","60","0","5","15","3","1","20","1","0","651","99.8","674","51","75","109","101","169","292","451","1089","125976"
"5","500","5","60","0","1","15","3","1","20","2","1","924","99.89989989989989","945","65","71","73","104","123","153","236","728","126489"
"2","500","5","60","0","3","15","3","1","20","2","1","961","99.89989989989989","986","66","87","103","142","171","306","544","1312","125270"
"3","500","5","60","0","2","15","3","1","20","2","1","969","99.89989989989989","992","73","77","94","106","131","243","428","1464","125379"
"6","500","5","60","0","0.5","15","3","1","20","2","1","928","99.89989989989989","950","72","60","75","91","119","136","236","766","126482"
"4","500","5","60","0","1.5","15","3","1","20","2","1","956","99.89989989989989","973","63","75","96","86","118","167","315","1031","126063"
"7","500","5","60","0","0","15","3","1","20","2","1","923","99.89989989989989","946","56","75","79","81","104","138","199","829","126480"
"1","500","5","60","0","5","15","3","1","20","2","1","1046","99.89989989989989","1072","84","116","161","208","276","408","704","1438","124520"
"5","500","5","60","0","1","15","3","1","20","3","2","1136","99.93324432576769","1160","61","69","78","101","118","171","330","1162","125737"
"3","500","5","60","0","2","15","3","1","20","3","2","1210","99.93324432576769","1229","69","66","92","168","204","297","664","2158","124040"
"2","500","5","60","0","3","15","3","1","20","3","2","1213","99.93324432576769","1242","78","97","118","198","268","402","657","1669","124258"
"4","500","5","60","0","1.5","15","3","1","20","3","2","1184","99.93324432576769","1216","61","73","82","99","124","238","488","1641","124965"
"6","500","5","60","0","0.5","15","3","1","20","3","2","1137","99.93324432576769","1158","50","65","81","109","113","145","256","1386","125624"
