BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,,
cradlemountain - deviation.nlogo,,,,,,,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,,,,,,,
10/23/2022 01:55:20:745 +1100,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
-260,260,-140,140,,,,,,,,,,,,,,,,,,,,
[run number],tourist-count,shortcutting-tourists,shortcut-threshold,test-regrowth-after,deviation-chance,vegetation-growth-rate,attraction-exploration-radius,damage-per-step,attraction-exploration-time,[step],ticks,count patches with [vegetation-health < 5 and not path? and not lake?],happiness-avg / happiness-count,vegetation-decile 1,vegetation-decile 2,vegetation-decile 3,vegetation-decile 4,vegetation-decile 5,vegetation-decile 6,vegetation-decile 7,vegetation-decile 8,vegetation-decile 9,vegetation-decile 10
4,1500,5,60,0,1.5,15,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,128987
2,1500,5,60,0,3,15,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,128987
7,1500,5,60,0,0,15,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,128987
6,1500,5,60,0,0.5,15,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,128987
5,1500,5,60,0,1,15,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,128987
1,1500,5,60,0,5,15,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,128987
3,1500,5,60,0,2,15,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,128987
7,1500,5,60,0,0,15,3,1,20,1,0,1129,99.93337775,1157,48,70,78,88,102,112,207,971,126154
6,1500,5,60,0,0.5,15,3,1,20,1,0,1111,99.93337775,1129,64,57,76,101,97,152,251,1006,126054
4,1500,5,60,0,1.5,15,3,1,20,1,0,1158,99.93337775,1170,62,67,86,105,154,257,431,1529,125126
3,1500,5,60,0,2,15,3,1,20,1,0,1176,99.93337775,1196,65,69,88,137,194,305,595,1699,124639
2,1500,5,60,0,3,15,3,1,20,1,0,1263,99.93337775,1282,76,88,152,195,235,419,693,1841,124006
1,1500,5,60,0,5,15,3,1,20,1,0,1376,99.93337775,1414,133,177,203,318,377,555,795,1782,123233
5,1500,5,60,0,1,15,3,1,20,1,0,1175,99.93337775,1195,61,70,81,89,125,196,362,1654,125154
7,1500,5,60,0,0,15,3,1,20,2,1,1447,99.96667777,1472,59,68,52,82,112,173,626,3558,122785
6,1500,5,60,0,0.5,15,3,1,20,2,1,1463,99.96667777,1485,54,78,68,96,132,296,665,3434,122679
4,1500,5,60,0,1.5,15,3,1,20,2,1,1527,99.96667777,1553,86,111,127,172,270,460,1014,4132,121062
3,1500,5,60,0,2,15,3,1,20,2,1,1611,99.96667777,1643,112,106,163,278,330,502,1062,4015,120776
2,1500,5,60,0,3,15,3,1,20,2,1,1845,99.96667777,1891,145,191,237,306,417,606,1301,5088,118805
1,1500,5,60,0,5,15,3,1,20,2,1,2328,99.96667777,2407,201,228,286,383,444,603,1164,3686,119585
5,1500,5,60,0,1,15,3,1,20,2,1,1538,99.96667777,1556,73,86,97,141,222,416,1263,5172,119961
6,1500,5,60,0,0.5,15,3,1,20,3,2,1644,99.97778271,1676,56,66,95,168,260,489,1462,5659,119056
7,1500,5,60,0,0,15,3,1,20,3,2,1650,99.97778271,1668,37,55,88,100,184,437,1445,5847,119126
4,1500,5,60,0,1.5,15,3,1,20,3,2,1852,99.97778271,1881,104,140,203,282,428,785,2041,6769,116354
3,1500,5,60,0,2,15,3,1,20,3,2,1998,99.97778271,2045,156,201,237,347,441,846,2142,6460,116112
2,1500,5,60,0,3,15,3,1,20,3,2,2393,97.74516774,2450,213,224,294,390,538,895,2443,6753,114787
1,1500,5,60,0,5,15,3,1,20,3,2,3041,99.94978894,3129,224,263,319,380,530,859,1908,5855,115520
5,1500,5,60,0,1,15,3,1,20,3,2,1774,95.808487,1793,94,106,130,247,419,822,2186,7100,116090
6,1500,5,60,0,0.5,15,3,1,20,4,3,1798,96.26645559,1823,75,106,170,242,397,820,2311,6722,116321
7,1500,5,60,0,0,15,3,1,20,4,3,1763,96.01399767,1787,66,75,93,183,370,799,2352,6440,116822
4,1500,5,60,0,1.5,15,3,1,20,4,3,2128,97.21629728,2167,160,202,265,403,660,1183,3187,7249,113511
