"BehaviorSpace results (NetLogo 6.2.2)"
"cradlemountain.nlogo"
"experiment"
"10/22/2022 18:11:44:413 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-260","260","-140","140"
"[run number]","tourist-count","shortcutting-tourists","shortcut-threshold","test-regrowth-after","deviation-chance","vegetation-growth-rate","attraction-exploration-radius","damage-per-step","attraction-exploration-time","[step]","ticks","count patches with [vegetation-health < 5 and not path? and not lake?]","happiness-avg / happiness-count","vegetation-decile 1","vegetation-decile 2","vegetation-decile 3","vegetation-decile 4","vegetation-decile 5","vegetation-decile 6","vegetation-decile 7","vegetation-decile 8","vegetation-decile 9","vegetation-decile 10"
"13","900","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"6","300","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"4","300","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"14","900","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"12","700","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"5","300","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"15","900","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"7","500","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"11","700","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"10","700","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"9","500","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"2","100","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"8","500","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"3","100","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"1","100","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"2","100","5","60","0","1.5","15","3","1","20","1","0","117","99.00990099009901","126","23","26","48","34","73","108","162","296","128091"
"3","100","5","60","0","1.5","15","3","1","20","1","0","116","99.00990099009901","129","14","24","36","46","69","113","147","341","128068"
"1","100","5","60","0","1.5","15","3","1","20","1","0","110","99.00990099009901","115","22","26","33","48","76","105","171","299","128092"
"2","100","5","60","0","1.5","15","3","1","20","2","1","284","99.50248756218906","298","30","39","72","66","98","100","200","388","127696"
"3","100","5","60","0","1.5","15","3","1","20","2","1","262","99.50248756218906","271","35","56","68","73","97","131","201","421","127634"
"1","100","5","60","0","1.5","15","3","1","20","2","1","259","99.50248756218906","274","46","48","62","74","81","129","205","367","127701"
"6","300","5","60","0","1.5","15","3","1","20","1","0","403","99.66666666666667","415","39","62","70","92","88","120","222","454","127425"
"4","300","5","60","0","1.5","15","3","1","20","1","0","395","99.66666666666667","411","42","60","72","93","91","121","237","387","127473"
"2","100","5","60","0","1.5","15","3","1","20","3","2","417","99.66777408637874","439","44","52","73","62","82","158","163","402","127512"
"5","300","5","60","0","1.5","15","3","1","20","1","0","396","99.66666666666667","414","44","56","73","78","90","158","206","382","127486"
"3","100","5","60","0","1.5","15","3","1","20","3","2","406","99.66777408637874","422","57","55","74","90","95","152","235","438","127369"
"1","100","5","60","0","1.5","15","3","1","20","3","2","412","99.66777408637874","426","41","52","65","91","88","142","192","419","127471"
"2","100","5","60","0","1.5","15","3","1","20","4","3","542","99.75062344139651","562","45","42","53","80","118","119","209","380","127379"
"3","100","5","60","0","1.5","15","3","1","20","4","3","538","99.75062344139651","557","49","65","56","88","113","162","224","419","127254"
"1","100","5","60","0","1.5","15","3","1","20","4","3","513","99.75062344139651","531","43","61","86","71","104","142","196","387","127366"
"2","100","5","60","0","1.5","15","3","1","20","5","4","632","99.8003992015968","646","42","37","85","76","102","140","212","324","127323"
"3","100","5","60","0","1.5","15","3","1","20","5","4","639","99.8003992015968","654","43","51","76","100","103","150","194","397","127219"
"1","100","5","60","0","1.5","15","3","1","20","5","4","613","99.8003992015968","627","49","55","81","82","108","140","210","356","127279"
"9","500","5","60","0","1.5","15","3","1","20","1","0","643","99.8","657","46","44","74","97","116","153","231","504","127065"
"7","500","5","60","0","1.5","15","3","1","20","1","0","630","99.8","647","69","62","80","78","125","168","235","531","126992"
"8","500","5","60","0","1.5","15","3","1","20","1","0","633","99.8","652","55","54","68","101","119","166","219","612","126941"
"2","100","5","60","0","1.5","15","3","1","20","6","5","692","99.83361064891847","710","54","63","66","96","104","143","186","329","127236"
"6","300","5","60","0","1.5","15","3","1","20","2","1","684","99.8330550918197","710","56","64","71","108","111","161","256","633","126817"
"3","100","5","60","0","1.5","15","3","1","20","6","5","697","99.83361064891847","724","47","67","74","87","115","128","185","327","127233"
"4","300","5","60","0","1.5","15","3","1","20","2","1","704","99.8330550918197","729","41","53","85","93","119","170","229","594","126874"
"5","300","5","60","0","1.5","15","3","1","20","2","1","681","99.8330550918197","697","57","50","76","114","117","145","221","585","126925"
"1","100","5","60","0","1.5","15","3","1","20","6","5","678","99.83361064891847","699","51","67","71","101","103","149","185","323","127238"
"2","100","5","60","0","1.5","15","3","1","20","7","6","772","99.85734664764622","788","55","53","80","87","111","144","171","342","127156"
"3","100","5","60","0","1.5","15","3","1","20","7","6","771","99.85734664764622","791","58","68","59","98","91","141","165","282","127234"
"1","100","5","60","0","1.5","15","3","1","20","7","6","748","99.85734664764622","772","50","59","81","104","96","135","172","258","127260"
"2","100","5","60","0","1.5","15","3","1","20","8","7","825","99.87515605493134","846","53","53","83","98","101","140","159","313","127141"
"3","100","5","60","0","1.5","15","3","1","20","8","7","837","99.87515605493134","861","60","54","70","99","95","104","159","292","127193"
"1","100","5","60","0","1.5","15","3","1","20","8","7","810","99.87515605493134","833","50","55","91","88","101","120","137","259","127253"
"12","700","5","60","0","1.5","15","3","1","20","1","0","806","99.85714285714286","822","57","65","73","117","137","156","282","809","126469"
"2","100","5","60","0","1.5","15","3","1","20","9","8","872","99.88901220865705","891","50","65","74","93","106","116","144","269","127179"
"11","700","5","60","0","1.5","15","3","1","20","1","0","783","99.85714285714286","799","55","75","75","118","127","151","302","750","126535"
"10","700","5","60","0","1.5","15","3","1","20","1","0","762","99.85714285714286","779","59","75","87","94","105","177","251","723","126637"
"3","100","5","60","0","1.5","15","3","1","20","9","8","897","99.88901220865705","915","49","56","85","81","89","107","143","290","127172"
"6","300","5","60","0","1.5","15","3","1","20","3","2","880","99.88864142538975","905","63","70","87","94","125","176","319","904","126244"
