"BehaviorSpace results (NetLogo 6.2.2)"
"cradlemountain.nlogo"
"experiment"
"10/22/2022 17:46:22:577 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-260","260","-140","140"
"[run number]","tourist-count","shortcutting-tourists","shortcut-threshold","test-regrowth-after","deviation-chance","vegetation-growth-rate","attraction-exploration-radius","damage-per-step","attraction-exploration-time","[step]","ticks","count patches with [vegetation-health < 5 and not path? and not lake?]","happiness-avg / happiness-count","vegetation-decile 1","vegetation-decile 2","vegetation-decile 3","vegetation-decile 4","vegetation-decile 5","vegetation-decile 6","vegetation-decile 7","vegetation-decile 8","vegetation-decile 9","vegetation-decile 10"
"4","351","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"6","351","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"7","351","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"8","351","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"3","351","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"10","351","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"5","351","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"2","351","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"9","351","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"1","351","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"4","351","5","60","0","1.5","15","3","1","20","1","0","467","99.7159090909091","482","56","61","75","87","105","143","233","498","127247"
"8","351","5","60","0","1.5","15","3","1","20","1","0","475","99.7159090909091","500","52","50","77","96","109","159","224","436","127284"
"3","351","5","60","0","1.5","15","3","1","20","1","0","458","99.7159090909091","470","42","54","84","106","92","155","250","385","127349"
"7","351","5","60","0","1.5","15","3","1","20","1","0","476","99.7159090909091","490","58","60","69","99","106","145","228","450","127282"
"6","351","5","60","0","1.5","15","3","1","20","1","0","462","99.7159090909091","481","45","50","81","76","100","126","193","426","127409"
"10","351","5","60","0","1.5","15","3","1","20","1","0","473","99.7159090909091","491","47","62","63","81","116","164","188","442","127333"
"5","351","5","60","0","1.5","15","3","1","20","1","0","470","99.7159090909091","489","63","59","67","78","95","164","218","455","127299"
"2","351","5","60","0","1.5","15","3","1","20","1","0","474","99.7159090909091","494","50","66","73","72","95","139","201","468","127329"
"9","351","5","60","0","1.5","15","3","1","20","1","0","455","99.7159090909091","477","47","52","63","85","88","160","202","416","127397"
"1","351","5","60","0","1.5","15","3","1","20","1","0","478","99.7159090909091","502","59","54","66","80","117","142","221","463","127283"
"4","351","5","60","0","1.5","15","3","1","20","2","1","784","99.85775248933143","810","69","49","95","98","111","170","298","860","126427"
"8","351","5","60","0","1.5","15","3","1","20","2","1","780","99.85775248933143","794","62","72","77","120","105","161","257","740","126599"
"7","351","5","60","0","1.5","15","3","1","20","2","1","789","99.85775248933143","806","63","66","86","83","118","161","281","709","126614"
"3","351","5","60","0","1.5","15","3","1","20","2","1","774","99.85775248933143","791","70","69","82","106","119","166","234","720","126630"
"6","351","5","60","0","1.5","15","3","1","20","2","1","767","99.85775248933143","787","52","69","70","83","133","155","269","680","126689"
"10","351","5","60","0","1.5","15","3","1","20","2","1","764","99.85775248933143","790","69","81","87","90","123","145","266","768","126568"
"2","351","5","60","0","1.5","15","3","1","20","2","1","776","99.85775248933143","797","54","60","95","111","102","147","271","673","126677"
"5","351","5","60","0","1.5","15","3","1","20","2","1","787","99.85775248933143","804","53","57","85","111","110","157","278","795","126537"
"9","351","5","60","0","1.5","15","3","1","20","2","1","750","99.85775248933143","776","43","57","87","109","117","137","257","777","126627"
"4","351","5","60","0","1.5","15","3","1","20","3","2","993","99.90512333965845","1013","69","68","82","103","122","212","392","1355","125571"
"7","351","5","60","0","1.5","15","3","1","20","3","2","989","99.90512333965845","1016","64","72","78","98","117","197","328","1034","125983"
"8","351","5","60","0","1.5","15","3","1","20","3","2","970","99.90512333965845","994","75","79","78","109","108","185","340","1020","125999"
"2","351","5","60","0","1.5","15","3","1","20","3","2","983","99.90512333965845","1013","66","67","83","107","116","186","338","1043","125968"
"3","351","5","60","0","1.5","15","3","1","20","3","2","972","99.90512333965845","994","65","66","91","107","110","173","355","933","126093"
"6","351","5","60","0","1.5","15","3","1","20","3","2","969","99.90512333965845","986","63","62","87","102","151","176","327","1037","125996"
"10","351","5","60","0","1.5","15","3","1","20","3","2","992","99.90512333965845","1016","74","63","81","105","125","173","336","1137","125877"
"5","351","5","60","0","1.5","15","3","1","20","3","2","965","99.90512333965845","991","72","70","84","91","118","213","315","1090","125943"
"1","351","5","60","0","1.5","15","3","1","20","2","1","772","99.85775248933143","787","75","71","84","102","125","164","230","764","126585"
"9","351","5","60","0","1.5","15","3","1","20","3","2","938","99.90512333965845","960","82","76","67","113","104","178","346","1144","125917"
"4","351","5","60","0","1.5","15","3","1","20","4","3","1162","99.9288256227758","1178","65","63","88","113","148","241","509","1822","124760"
