"BehaviorSpace results (NetLogo 6.2.2)"
"cradlemountain - attractionrad.nlogo"
"sthr-sensitivity"
"10/23/2022 20:47:54:758 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-260","260","-140","140"
"[run number]","tourist-count","shortcutting-tourists","shortcut-threshold","test-regrowth-after","deviation-chance","vegetation-growth-rate","attraction-exploration-radius","damage-per-step","attraction-exploration-time","[step]","ticks","count patches with [vegetation-health < 5 and not path? and not lake?]","happiness-avg / happiness-count","vegetation-decile 1","vegetation-decile 2","vegetation-decile 3","vegetation-decile 4","vegetation-decile 5","vegetation-decile 6","vegetation-decile 7","vegetation-decile 8","vegetation-decile 9","vegetation-decile 10"
"6","500","5","57","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"3","500","5","63","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"4","500","5","57","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"1","500","5","63","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"5","500","5","57","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"2","500","5","63","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"6","500","5","57","0","1.5","15","3","1","20","1","0","622","99.8","640","51","70","73","103","120","153","238","539","127000"
"3","500","5","63","0","1.5","15","3","1","20","1","0","619","99.8","636","63","60","74","95","120","154","237","566","126982"
"1","500","5","63","0","1.5","15","3","1","20","1","0","625","99.8","651","40","42","72","91","109","164","220","517","127081"
"2","500","5","63","0","1.5","15","3","1","20","1","0","618","99.8","640","42","54","66","85","119","141","223","541","127076"
"5","500","5","57","0","1.5","15","3","1","20","1","0","623","99.8","640","53","62","77","89","110","168","229","538","127021"
"4","500","5","57","0","1.5","15","3","1","20","1","0","621","99.8","637","46","52","87","88","119","153","237","495","127073"
"1","500","5","63","0","1.5","15","3","1","20","2","1","937","99.89989989989989","963","65","73","84","109","96","164","378","1022","126033"
"6","500","5","57","0","1.5","15","3","1","20","2","1","949","99.89989989989989","974","65","64","96","86","134","193","323","1076","125976"
"3","500","5","63","0","1.5","15","3","1","20","2","1","965","99.89989989989989","995","65","64","80","102","114","193","353","1122","125899"
"2","500","5","63","0","1.5","15","3","1","20","2","1","939","99.89989989989989","961","66","84","79","114","103","151","341","1089","125999"
"5","500","5","57","0","1.5","15","3","1","20","2","1","928","99.89989989989989","952","85","66","82","96","113","174","323","937","126159"
"4","500","5","57","0","1.5","15","3","1","20","2","1","928","99.89989989989989","952","69","72","70","100","125","165","292","934","126208"
"1","500","5","63","0","1.5","15","3","1","20","3","2","1173","99.93324432576769","1200","70","65","73","97","168","254","471","1612","124977"
"6","500","5","57","0","1.5","15","3","1","20","3","2","1174","99.93324432576769","1200","59","71","97","118","128","271","482","1766","124795"
"3","500","5","63","0","1.5","15","3","1","20","3","2","1182","99.93324432576769","1202","69","65","81","103","168","234","452","1867","124746"
"2","500","5","63","0","1.5","15","3","1","20","3","2","1187","99.93324432576769","1208","58","70","94","110","114","249","479","1836","124769"
"5","500","5","57","0","1.5","15","3","1","20","3","2","1177","99.93324432576769","1202","68","65","85","108","153","241","482","1623","124960"
"4","500","5","57","0","1.5","15","3","1","20","3","2","1138","99.93324432576769","1155","75","71","84","105","149","215","486","1489","125158"
"1","500","5","63","0","1.5","15","3","1","20","4","3","1342","99.949924887331","1358","57","58","117","132","205","301","620","2247","123892"
"6","500","5","57","0","1.5","15","3","1","20","4","3","1312","99.949924887331","1342","80","71","104","125","205","299","652","2311","123798"
"2","500","5","63","0","1.5","15","3","1","20","4","3","1332","99.949924887331","1353","62","70","95","123","188","294","672","2194","123936"
"5","500","5","57","0","1.5","15","3","1","20","4","3","1330","99.949924887331","1357","43","84","104","128","203","277","624","2110","124057"
"3","500","5","63","0","1.5","15","3","1","20","4","3","1342","99.949924887331","1356","61","76","109","138","174","307","653","2221","123892"
"4","500","5","57","0","1.5","15","3","1","20","4","3","1285","99.949924887331","1309","70","76","92","140","152","279","636","1951","124282"
"1","500","5","63","0","1.5","15","3","1","20","5","4","1447","99.9599358974359","1464","78","110","99","184","211","329","843","2794","122875"
"6","500","5","57","0","1.5","15","3","1","20","5","4","1453","99.9599358974359","1482","67","89","108","154","228","366","815","2461","123217"
"2","500","5","63","0","1.5","15","3","1","20","5","4","1445","99.9599358974359","1469","64","79","113","159","206","393","749","2405","123350"
"5","500","5","57","0","1.5","15","3","1","20","5","4","1442","99.9599358974359","1465","78","91","104","158","233","341","738","2365","123414"
"3","500","5","63","0","1.5","15","3","1","20","5","4","1451","99.9599358974359","1476","69","92","125","154","227","346","793","2311","123394"
"4","500","5","57","0","1.5","15","3","1","20","5","4","1420","99.9599358974359","1450","72","82","121","132","227","380","751","2348","123424"
"1","500","5","63","0","1.5","15","3","1","20","6","5","1567","99.96661101836393","1597","71","103","135","192","230","411","953","2979","122316"
"6","500","5","57","0","1.5","15","3","1","20","6","5","1568","99.96661101836393","1593","75","98","132","171","264","456","894","2433","122871"
"2","500","5","63","0","1.5","15","3","1","20","6","5","1543","99.96661101836393","1566","76","103","124","193","242","430","844","2265","123144"
"5","500","5","57","0","1.5","15","3","1","20","6","5","1549","99.96661101836393","1570","81","94","146","178","243","386","820","2188","123281"
"3","500","5","63","0","1.5","15","3","1","20","6","5","1556","99.96661101836393","1580","93","98","127","182","248","434","885","2164","123176"
"4","500","5","57","0","1.5","15","3","1","20","6","5","1535","99.96661101836393","1560","75","104","123","191","256","418","872","2547","122841"
"1","500","5","63","0","1.5","15","3","1","20","7","6","1662","99.97137950772753","1683","94","133","139","192","271","450","1017","2711","122297"
