"BehaviorSpace results (NetLogo 6.2.2)"
"cradlemountain - deviation.nlogo"
"vgr-sensitivity"
"10/23/2022 20:45:17:712 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-260","260","-140","140"
"[run number]","tourist-count","shortcutting-tourists","shortcut-threshold","test-regrowth-after","deviation-chance","vegetation-growth-rate","attraction-exploration-radius","damage-per-step","attraction-exploration-time","[step]","ticks","count patches with [vegetation-health < 5 and not path? and not lake?]","happiness-avg / happiness-count","vegetation-decile 1","vegetation-decile 2","vegetation-decile 3","vegetation-decile 4","vegetation-decile 5","vegetation-decile 6","vegetation-decile 7","vegetation-decile 8","vegetation-decile 9","vegetation-decile 10"
"4","500","5","60","0","1.5","14.25","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"2","500","5","60","0","1.5","15.75","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"6","500","5","60","0","1.5","14.25","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"3","500","5","60","0","1.5","15.75","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"5","500","5","60","0","1.5","14.25","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"1","500","5","60","0","1.5","15.75","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"4","500","5","60","0","1.5","14.25","3","1","20","1","0","633","99.8","650","53","48","57","108","119","167","179","479","127127"
"2","500","5","60","0","1.5","15.75","3","1","20","1","0","628","99.8","645","58","63","63","94","98","172","239","585","126970"
"1","500","5","60","0","1.5","15.75","3","1","20","1","0","626","99.8","647","55","51","64","85","108","158","240","582","126997"
"3","500","5","60","0","1.5","15.75","3","1","20","1","0","610","99.8","630","58","49","85","104","109","134","246","567","127005"
"5","500","5","60","0","1.5","14.25","3","1","20","1","0","617","99.8","635","48","51","68","96","107","158","252","515","127057"
"6","500","5","60","0","1.5","14.25","3","1","20","1","0","611","99.8","626","66","47","62","98","140","140","211","556","127041"
"1","500","5","60","0","1.5","15.75","3","1","20","2","1","942","99.89989989989989","969","60","85","79","98","123","184","317","1134","125938"
"2","500","5","60","0","1.5","15.75","3","1","20","2","1","931","99.89989989989989","948","63","84","98","113","117","168","315","1041","126040"
