"BehaviorSpace results (NetLogo 6.2.2)"
"cradlemountain - attractionrad.nlogo"
"experiment"
"10/23/2022 11:11:49:322 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-260","260","-140","140"
"[run number]","tourist-count","shortcutting-tourists","shortcut-threshold","test-regrowth-after","deviation-chance","vegetation-growth-rate","attraction-exploration-radius","damage-per-step","attraction-exploration-time","[step]","ticks","count patches with [vegetation-health < 5 and not path? and not lake?]","happiness-avg / happiness-count","vegetation-decile 1","vegetation-decile 2","vegetation-decile 3","vegetation-decile 4","vegetation-decile 5","vegetation-decile 6","vegetation-decile 7","vegetation-decile 8","vegetation-decile 9","vegetation-decile 10"
"5","1000","5","60","0","1.5","15","1","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"1","1000","5","60","0","1.5","15","5","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"3","1000","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"4","1000","5","60","0","1.5","15","2","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"2","1000","5","60","0","1.5","15","4","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"1","1000","5","60","0","1.5","15","5","1","20","1","0","1181","99.9","1209","71","103","111","118","134","210","387","1157","125487"
"5","1000","5","60","0","1.5","15","1","1","20","1","0","778","99.9","797","63","65","74","87","102","175","290","966","126368"
"3","1000","5","60","0","1.5","15","3","1","20","1","0","931","99.9","959","55","73","84","92","115","167","317","906","126219"
"4","1000","5","60","0","1.5","15","2","1","20","1","0","828","99.9","851","54","69","88","85","122","168","329","997","126224"
"2","1000","5","60","0","1.5","15","4","1","20","1","0","1053","99.9","1080","68","89","94","98","131","217","366","1156","125688"
"1","1000","5","60","0","1.5","15","5","1","20","2","1","1653","99.94997498749375","1682","76","86","95","159","209","336","699","2664","122981"
"5","1000","5","60","0","1.5","15","1","1","20","2","1","1096","99.94997498749375","1118","60","60","106","103","185","316","603","2586","123850"
"4","1000","5","60","0","1.5","15","2","1","20","2","1","1194","99.94997498749375","1217","67","65","93","116","177","307","694","2671","123580"
"3","1000","5","60","0","1.5","15","3","1","20","2","1","1305","99.94997498749375","1324","71","72","112","112","165","309","638","2155","124029"
"2","1000","5","60","0","1.5","15","4","1","20","2","1","1464","99.94997498749375","1487","84","75","124","155","203","315","769","3079","122696"
"1","1000","5","60","0","1.5","15","5","1","20","3","2","1914","93.33655770513676","1940","86","121","152","206","266","497","1103","4279","120337"
"5","1000","5","60","0","1.5","15","1","1","20","3","2","1282","99.96664442961975","1311","74","80","133","180","265","453","962","4125","121404"
"4","1000","5","60","0","1.5","15","2","1","20","3","2","1409","99.96664442961975","1443","75","95","125","185","244","459","1185","4325","120851"
"3","1000","5","60","0","1.5","15","3","1","20","3","2","1553","99.96664442961975","1580","80","87","146","167","264","484","972","3927","121280"
"2","1000","5","60","0","1.5","15","4","1","20","3","2","1721","99.96664442961975","1757","81","117","153","196","271","513","1168","4264","120467"
"1","1000","5","60","0","1.5","15","5","1","20","4","3","2114","87.94846134600951","2160","122","134","183","237","378","694","1550","5205","118324"
"5","1000","5","60","0","1.5","15","1","1","20","4","3","1463","99.97498123592695","1496","86","134","170","229","350","631","1512","5075","119304"
"4","1000","5","60","0","1.5","15","2","1","20","4","3","1613","99.97498123592695","1649","96","132","161","251","382","723","1850","5641","118102"
"3","1000","5","60","0","1.5","15","3","1","20","4","3","1745","99.97498123592695","1787","98","110","167","248","338","600","1356","4884","119399"
"2","1000","5","60","0","1.5","15","4","1","20","4","3","1946","97.67725794345759","1982","124","118","174","267","420","749","1589","5322","118242"
"1","1000","5","60","0","1.5","15","5","1","20","5","4","2341","84.33226581265012","2386","129","169","218","321","496","935","2000","5371","116962"
"5","1000","5","60","0","1.5","15","1","1","20","5","4","1647","99.97998398718975","1687","132","134","207","282","500","839","2093","5233","117880"
"4","1000","5","60","0","1.5","15","2","1","20","5","4","1811","99.97998398718975","1858","105","157","219","340","517","992","2412","5881","116506"
"3","1000","5","60","0","1.5","15","3","1","20","5","4","1929","99.94715772618095","1968","121","144","209","321","431","752","1779","5022","118240"
"2","1000","5","60","0","1.5","15","4","1","20","5","4","2169","93.80084067253803","2197","131","171","216","358","569","958","2116","5376","116895"
"1","1000","5","60","0","1.5","15","5","1","20","6","5","2538","82.07556296914095","2580","165","191","276","417","624","1107","2364","4754","116509"
"5","1000","5","60","0","1.5","15","1","1","20","6","5","1815","99.98331943286071","1870","153","162","239","377","574","1107","2419","4954","117132"
"4","1000","5","60","0","1.5","15","2","1","20","6","5","1980","99.98331943286071","2020","155","185","269","400","643","1233","2662","5367","116053"
"3","1000","5","60","0","1.5","15","3","1","20","6","5","2116","98.48256880733945","2166","141","181","249","369","501","919","2177","4779","117505"
"2","1000","5","60","0","1.5","15","4","1","20","6","5","2342","90.48974145120934","2403","159","183","306","429","661","1082","2545","4916","116303"
"1","1000","5","60","0","1.5","15","5","1","20","7","6","2730","80.40191592793823","2779","175","244","302","461","717","1207","2573","4207","116322"
"5","1000","5","60","0","1.5","15","1","1","20","7","6","2013","99.9857020303117","2070","155","204","303","469","717","1326","2618","4347","116778"
"4","1000","5","60","0","1.5","15","2","1","20","7","6","2150","99.9857020303117","2212","178","238","311","477","789","1464","2768","4515","116035"
"3","1000","5","60","0","1.5","15","3","1","20","7","6","2303","97.07063197026022","2357","153","216","323","439","606","1125","2377","4441","116950"
"1","1000","5","60","0","1.5","15","5","1","20","8","7","2910","78.7690479169273","2980","217","249","375","524","792","1405","2459","3564","116422"
"2","1000","5","60","0","1.5","15","4","1","20","7","6","2556","88.01029453817559","2609","164","250","333","482","703","1284","2649","4106","116407"
"5","1000","5","60","0","1.5","15","1","1","20","8","7","2177","99.9874890529213","2230","195","266","365","526","873","1467","2617","3848","116600"
"4","1000","5","60","0","1.5","15","2","1","20","8","7","2350","99.63518078318529","2418","220","259","388","585","970","1567","2691","4348","115541"
"1","1000","5","60","0","1.5","15","5","1","20","9","8","3110","77.60008896797153","3189","227","301","405","613","890","1518","2380","3414","116050"
"3","1000","5","60","0","1.5","15","3","1","20","8","7","2478","95.46077818090829","2530","226","268","351","480","724","1288","2416","4221","116483"
"2","1000","5","60","0","1.5","15","4","1","20","8","7","2728","85.98523708244714","2797","213","285","386","551","805","1439","2554","3493","116464"
"1","1000","5","60","0","1.5","15","5","1","20","10","9","3339","76.39235311780602","3430","250","314","530","643","1010","1538","2199","3569","115504"
"5","1000","5","60","0","1.5","15","1","1","20","9","8","2336","99.98887900355872","2390","262","284","411","638","930","1535","2364","3581","116592"
"4","1000","5","60","0","1.5","15","2","1","20","9","8","2546","98.62210854092527","2627","212","303","439","694","1025","1649","2439","4002","115597"
"3","1000","5","60","0","1.5","15","3","1","20","9","8","2672","93.68383007117438","2750","237","294","377","579","840","1398","2346","4055","116111"
"2","1000","5","60","0","1.5","15","4","1","20","9","8","2942","84.7907028469751","3018","254","300","436","645","975","1494","2426","3442","115997"
"1","1000","5","60","0","1.5","15","5","1","20","11","10","3519","75.6252957233849","3602","266","394","521","712","1061","1529","2119","3499","115284"
"5","1000","5","60","0","1.5","15","1","1","20","10","9","2554","99.9899909918927","2636","267","332","502","731","1016","1531","2172","3654","116146"
"1","1000","5","60","0","1.5","15","5","1","20","12","11","3721","74.68671282008508","3805","330","421","562","789","1071","1376","2012","3258","115363"
"4","1000","5","60","0","1.5","15","2","1","20","10","9","2729","97.86067460714644","2801","242","340","507","809","1046","1580","2256","3520","115886"
"2","1000","5","60","0","1.5","15","4","1","20","10","9","3140","83.19997998198379","3223","277","329","510","700","1087","1521","2194","3499","115647"
