"BehaviorSpace results (NetLogo 6.2.2)"
"cradlemountain - deviation.nlogo"
"experiment"
"10/23/2022 11:09:50:346 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-260","260","-140","140"
"[run number]","tourist-count","shortcutting-tourists","shortcut-threshold","test-regrowth-after","deviation-chance","vegetation-growth-rate","attraction-exploration-radius","damage-per-step","attraction-exploration-time","[step]","ticks","count patches with [vegetation-health < 5 and not path? and not lake?]","happiness-avg / happiness-count","vegetation-decile 1","vegetation-decile 2","vegetation-decile 3","vegetation-decile 4","vegetation-decile 5","vegetation-decile 6","vegetation-decile 7","vegetation-decile 8","vegetation-decile 9","vegetation-decile 10"
"4","1000","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"7","1000","5","60","0","0","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"3","1000","5","60","0","2","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"2","1000","5","60","0","3","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"5","1000","5","60","0","1","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"1","1000","5","60","0","5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"6","1000","5","60","0","0.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"6","1000","5","60","0","0.5","15","3","1","20","1","0","882","99.9","903","62","79","76","102","92","152","221","591","126709"
"7","1000","5","60","0","0","15","3","1","20","1","0","914","99.9","930","53","70","72","86","108","148","202","505","126813"
"4","1000","5","60","0","1.5","15","3","1","20","1","0","941","99.9","961","66","76","76","100","117","208","341","1270","125772"
"5","1000","5","60","0","1","15","3","1","20","1","0","928","99.9","950","58","80","78","88","116","145","268","776","126428"
"1","1000","5","60","0","5","15","3","1","20","1","0","1071","99.9","1097","104","95","138","205","272","460","733","1819","124064"
"3","1000","5","60","0","2","15","3","1","20","1","0","964","99.9","985","67","73","81","101","130","228","421","1175","125726"
"2","1000","5","60","0","3","15","3","1","20","1","0","998","99.9","1017","70","98","100","134","198","295","578","1624","124873"
"6","1000","5","60","0","0.5","15","3","1","20","2","1","1266","99.94997498749375","1288","47","59","90","92","113","142","359","2043","124754"
"7","1000","5","60","0","0","15","3","1","20","2","1","1256","99.94997498749375","1278","65","50","73","97","105","135","327","1785","125072"
"1","1000","5","60","0","5","15","3","1","20","2","1","1703","99.94997498749375","1753","164","207","273","315","395","593","1020","3093","121174"
"4","1000","5","60","0","1.5","15","3","1","20","2","1","1304","99.94997498749375","1320","64","79","96","155","200","341","704","3089","122939"
"3","1000","5","60","0","2","15","3","1","20","2","1","1355","99.94997498749375","1377","70","96","125","165","258","361","823","2926","122786"
"5","1000","5","60","0","1","15","3","1","20","2","1","1297","99.94997498749375","1317","61","71","76","108","126","259","497","2401","124071"
"2","1000","5","60","0","3","15","3","1","20","2","1","1462","99.94997498749375","1495","108","123","176","236","328","530","905","3192","121894"
"6","1000","5","60","0","0.5","15","3","1","20","3","2","1459","99.96664442961975","1483","57","61","79","99","121","252","791","3771","122273"
"7","1000","5","60","0","0","15","3","1","20","3","2","1465","99.96664442961975","1477","55","60","77","84","111","190","685","3684","122564"
"1","1000","5","60","0","5","15","3","1","20","3","2","2326","99.96664442961975","2399","199","248","265","394","478","731","1579","5062","117632"
"3","1000","5","60","0","2","15","3","1","20","3","2","1616","99.96664442961975","1650","110","125","193","228","349","564","1255","4606","119907"
