"BehaviorSpace results (NetLogo 6.2.2)"
"cradlemountain - shortcutters.nlogo"
"experiment"
"10/23/2022 11:12:50:674 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-260","260","-140","140"
"[run number]","tourist-count","shortcutting-tourists","shortcut-threshold","test-regrowth-after","deviation-chance","vegetation-growth-rate","attraction-exploration-radius","damage-per-step","attraction-exploration-time","[step]","ticks","count patches with [vegetation-health < 5 and not path? and not lake?]","happiness-avg / happiness-count","vegetation-decile 1","vegetation-decile 2","vegetation-decile 3","vegetation-decile 4","vegetation-decile 5","vegetation-decile 6","vegetation-decile 7","vegetation-decile 8","vegetation-decile 9","vegetation-decile 10"
"1","1000","10","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"2","1000","7.5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"5","1000","1","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"3","1000","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"6","1000","0","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"4","1000","2.5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"1","1000","10","60","0","1.5","15","3","1","20","1","0","983","99.9","1010","79","70","80","118","156","197","441","2047","124789"
"3","1000","5","60","0","1.5","15","3","1","20","1","0","919","99.9","939","72","80","82","108","113","191","341","1061","126000"
"5","1000","1","60","0","1.5","15","3","1","20","1","0","902","99.9","920","56","58","75","91","111","157","295","765","126459"
"6","1000","0","60","0","1.5","15","3","1","20","1","0","895","99.9","915","67","61","68","87","100","134","270","716","126569"
"2","1000","7.5","60","0","1.5","15","3","1","20","1","0","959","99.9","981","57","93","70","114","111","193","363","1166","125839"
"4","1000","2.5","60","0","1.5","15","3","1","20","1","0","912","99.9","936","60","65","81","107","111","179","322","800","126326"
"1","1000","10","60","0","1.5","15","3","1","20","2","1","1395","99.94997498749375","1421","61","74","125","144","238","456","1272","5494","119702"
"3","1000","5","60","0","1.5","15","3","1","20","2","1","1306","99.94997498749375","1325","67","80","104","141","191","275","627","2534","123643"
"5","1000","1","60","0","1.5","15","3","1","20","2","1","1239","99.94997498749375","1258","49","69","99","126","165","271","537","1120","125293"
"6","1000","0","60","0","1.5","15","3","1","20","2","1","1216","99.94997498749375","1233","52","65","70","111","147","246","471","1018","125574"
"4","1000","2.5","60","0","1.5","15","3","1","20","2","1","1305","99.94997498749375","1322","69","65","96","128","176","318","511","1591","124711"
"2","1000","7.5","60","0","1.5","15","3","1","20","2","1","1352","99.94997498749375","1380","76","72","108","160","198","376","1000","4143","121474"
"4","1000","2.5","60","0","1.5","15","3","1","20","3","2","1497","99.96664442961975","1525","85","86","140","192","225","397","705","2195","123437"
"1","1000","10","60","0","1.5","15","3","1","20","3","2","1669","99.96664442961975","1704","76","106","180","304","474","1086","2840","8204","114013"
"3","1000","5","60","0","1.5","15","3","1","20","3","2","1540","99.96664442961975","1571","78","124","134","171","271","460","1061","4261","120856"
"5","1000","1","60","0","1.5","15","3","1","20","3","2","1420","99.96664442961975","1444","82","98","120","172","240","400","644","1252","124535"
"6","1000","0","60","0","1.5","15","3","1","20","3","2","1389","99.96664442961975","1413","74","92","95","150","211","354","589","1074","124935"
"2","1000","7.5","60","0","1.5","15","3","1","20","3","2","1603","99.96664442961975","1630","90","121","114","226","355","693","1839","6443","117476"
"4","1000","2.5","60","0","1.5","15","3","1","20","4","3","1685","99.97498123592695","1718","105","121","174","219","315","455","842","2631","122407"
"1","1000","10","60","0","1.5","15","3","1","20","4","3","1876","97.63272454340756","1920","147","216","301","502","1042","1829","4195","8431","110404"
"3","1000","5","60","0","1.5","15","3","1","20","4","3","1776","99.97498123592695","1800","103","117","208","235","396","680","1707","5490","118251"
"5","1000","1","60","0","1.5","15","3","1","20","4","3","1601","99.97498123592695","1639","98","115","152","212","312","438","640","1334","124047"
"2","1000","7.5","60","0","1.5","15","3","1","20","4","3","1809","97.48986740055041","1847","105","135","193","328","514","1062","2541","7227","115035"
"6","1000","0","60","0","1.5","15","3","1","20","4","3","1568","99.97498123592695","1598","74","91","145","209","277","390","636","979","124588"
"4","1000","2.5","60","0","1.5","15","3","1","20","5","4","1876","99.97998398718975","1916","115","150","188","281","338","515","996","2650","121838"
"1","1000","10","60","0","1.5","15","3","1","20","5","4","2168","95.81244995996798","2230","231","277","531","835","1368","2598","4786","7721","108410"
"3","1000","5","60","0","1.5","15","3","1","20","5","4","1954","98.09847878302642","1988","130","182","205","320","480","854","2258","5402","117168"
"5","1000","1","60","0","1.5","15","3","1","20","5","4","1767","99.97998398718975","1801","123","128","204","275","304","461","658","1209","123824"
"2","1000","7.5","60","0","1.5","15","3","1","20","5","4","2021","96.18194555644516","2062","145","186","331","467","812","1502","3257","6593","113632"
"6","1000","0","60","0","1.5","15","3","1","20","5","4","1711","99.97998398718975","1736","107","127","193","229","280","424","595","868","124428"
"4","1000","2.5","60","0","1.5","15","3","1","20","6","5","2040","99.98331943286071","2085","134","185","232","290","338","566","1063","2399","121695"
"1","1000","10","60","0","1.5","15","3","1","20","6","5","2491","93.98715596330275","2573","247","459","713","1097","1665","2949","4826","6461","107997"
"3","1000","5","60","0","1.5","15","3","1","20","6","5","2135","96.72994161801502","2186","179","189","268","386","559","1081","2607","4419","117113"
"5","1000","1","60","0","1.5","15","3","1","20","6","5","1943","99.98331943286071","1980","139","177","235","262","323","453","672","1048","123698"
"2","1000","7.5","60","0","1.5","15","3","1","20","6","5","2225","94.91976647206005","2274","204","297","378","620","1038","1872","3621","5886","112797"
"6","1000","0","60","0","1.5","15","3","1","20","6","5","1852","99.98331943286071","1895","135","162","189","239","326","406","536","771","124328"
"4","1000","2.5","60","0","1.5","15","3","1","20","7","6","2212","99.45281670002859","2268","156","201","240","285","379","573","998","1930","121957"
"1","1000","10","60","0","1.5","15","3","1","20","7","6","2793","92.33128395767801","2896","451","585","867","1306","2040","3103","4419","5196","108124"
"5","1000","1","60","0","1.5","15","3","1","20","7","6","2101","99.9857020303117","2167","153","187","227","263","350","429","621","1026","123564"
"3","1000","5","60","0","1.5","15","3","1","20","7","6","2366","95.46468401486989","2423","173","235","346","489","727","1457","2730","4050","116357"
"2","1000","7.5","60","0","1.5","15","3","1","20","7","6","2475","92.93708893337146","2545","303","284","545","815","1256","2177","3604","5440","112018"
"6","1000","0","60","0","1.5","15","3","1","20","7","6","2017","99.9857020303117","2075","140","171","190","247","335","398","496","670","124265"
"4","1000","2.5","60","0","1.5","15","3","1","20","8","7","2397","98.2940072563493","2452","176","191","251","299","403","587","996","1778","121854"
"1","1000","10","60","0","1.5","15","3","1","20","8","7","3270","90.98573752033029","3426","556","721","1094","1573","2255","3153","3994","4602","107613"
"5","1000","1","60","0","1.5","15","3","1","20","8","7","2294","99.9874890529213","2346","154","210","212","277","337","421","533","990","123507"
"3","1000","5","60","0","1.5","15","3","1","20","8","7","2548","93.75978981608908","2616","211","269","402","521","880","1701","2708","4114","115565"
"2","1000","7.5","60","0","1.5","15","3","1","20","8","7","2752","91.55110721881647","2850","285","405","660","943","1528","2146","3316","4993","111861"
"6","1000","0","60","0","1.5","15","3","1","20","8","7","2177","99.9874890529213","2230","152","160","193","298","290","367","461","609","124227"
"4","1000","2.5","60","0","1.5","15","3","1","20","9","8","2567","97.62989323843416","2624","171","208","250","312","420","581","961","1895","121565"
"1","1000","10","60","0","1.5","15","3","1","20","9","8","3715","89.81005338078292","3881","613","841","1240","1760","2404","2957","3627","4118","107546"
"5","1000","1","60","0","1.5","15","3","1","20","9","8","2454","99.98887900355872","2509","157","179","243","280","319","406","508","943","123443"
"3","1000","5","60","0","1.5","15","3","1","20","9","8","2747","92.6206628113879","2827","238","326","438","617","1054","1725","2565","3834","115363"
"6","1000","0","60","0","1.5","15","3","1","20","9","8","2327","99.98887900355872","2372","147","174","223","268","266","344","424","564","124205"
"2","1000","7.5","60","0","1.5","15","3","1","20","9","8","3015","90.25066725978648","3117","364","495","792","1115","1576","2269","2963","4479","111817"
"4","1000","2.5","60","0","1.5","15","3","1","20","10","9","2709","96.79151236112502","2771","197","196","255","327","417","566","910","2010","121338"
"1","1000","10","60","0","1.5","15","3","1","20","10","9","4191","88.38474627164447","4387","747","981","1378","1842","2315","2680","3230","3785","107642"
"2","1000","7.5","60","0","1.5","15","3","1","20","10","9","3360","89.10299269342408","3474","449","674","852","1299","1594","2233","2710","4203","111499"
