BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,,
cradlemountain - shortcutters.nlogo,,,,,,,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,,,,,,,
10/23/2022 01:54:31:922 +1100,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
-260,260,-140,140,,,,,,,,,,,,,,,,,,,,
[run number],tourist-count,shortcutting-tourists,shortcut-threshold,test-regrowth-after,deviation-chance,vegetation-growth-rate,attraction-exploration-radius,damage-per-step,attraction-exploration-time,[step],ticks,count patches with [vegetation-health < 5 and not path? and not lake?],happiness-avg / happiness-count,vegetation-decile 1,vegetation-decile 2,vegetation-decile 3,vegetation-decile 4,vegetation-decile 5,vegetation-decile 6,vegetation-decile 7,vegetation-decile 8,vegetation-decile 9,vegetation-decile 10
5,1500,1,60,0,1.5,15,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,143580
1,1500,10,60,0,1.5,15,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,128987
6,1500,0,60,0,1.5,15,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,128987
2,1500,7.5,60,0,1.5,15,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,128987
3,1500,5,60,0,1.5,15,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,128987
4,1500,2.5,60,0,1.5,15,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,128987
5,1500,1,60,0,1.5,15,3,1,20,1,0,2087,99.93337775,2184,334,512,648,829,949,1353,1996,2640,132135
1,1500,10,60,0,1.5,15,3,1,20,1,0,1235,99.93337775,1264,71,76,81,118,182,306,830,3779,122280
2,1500,7.5,60,0,1.5,15,3,1,20,1,0,1183,99.93337775,1206,75,69,101,121,169,246,634,2883,123483
3,1500,5,60,0,1.5,15,3,1,20,1,0,1190,99.93337775,1211,51,67,86,127,147,248,419,1637,124994
6,1500,0,60,0,1.5,15,3,1,20,1,0,1099,99.93337775,1121,58,55,61,81,121,193,367,945,125985
4,1500,2.5,60,0,1.5,15,3,1,20,1,0,1119,99.93337775,1135,57,75,86,108,150,220,430,1054,125672
5,1500,1,60,0,1.5,15,3,1,20,2,1,4774,96.77174275,4973,523,679,843,879,917,1193,1599,2150,129824
1,1500,10,60,0,1.5,15,3,1,20,2,1,1642,99.96667777,1674,90,123,182,271,460,1061,2769,8223,114134
