Latitude,Longitude,Elevation
-41.6516500,145.9539300,926.0
-41.6512600,145.9535100,936.0
-41.6508700,145.9530800,945.0
-41.6504800,145.9526600,960.0
-41.6500900,145.9522300,985.0
-41.6497000,145.9518100,1002.0
-41.6493100,145.9513800,1005.0
-41.6497900,145.9513900,1000.0
-41.6502600,145.9514000,998.0
-41.6507300,145.9514100,996.0
-41.6512100,145.9514200,994.0
-41.6517900,145.9514300,987.0
-41.6523700,145.9514500,976.0
-41.6529500,145.9514600,972.0
-41.6534200,145.9514400,978.0
-41.6538900,145.9514200,979.0
-41.6543500,145.9514000,983.0
-41.6548200,145.9513800,985.0
-41.6552900,145.9513600,992.0
-41.6557700,145.9513400,1004.0
-41.6562400,145.9513200,1023.0
-41.6567200,145.9513000,1051.0
-41.6571900,145.9512800,1088.0
-41.6577000,145.9512600,1129.0
-41.6582100,145.9512300,1156.0
-41.6587800,145.9512100,1167.0
-41.6593600,145.9511900,1169.0
-41.6599200,145.9511700,1172.0
-41.6604700,145.9511400,1180.0
-41.6610300,145.9511200,1211.0
-41.6616600,145.9511000,1243.0
-41.6622900,145.9510700,1251.0
-41.6629500,145.9510500,1251.0
-41.6636100,145.9510200,1243.0
-41.6642500,145.9510000,1250.0
-41.6648900,145.9509700,1255.0
-41.6653400,145.9509500,1249.0
-41.6658000,145.9509300,1240.0
-41.6662500,145.9509100,1231.0
-41.6667500,145.9508900,1227.0
-41.6672400,145.9508700,1231.0
-41.6677400,145.9508500,1231.0
-41.6681900,145.9508300,1235.0
-41.6686500,145.9508100,1243.0
-41.6691000,145.9507900,1247.0
-41.6695500,145.9507700,1240.0
-41.6700700,145.9507500,1226.0
-41.6706000,145.9507300,1210.0
-41.6711200,145.9507100,1201.0
-41.6716400,145.9506900,1195.0
-41.6716900,145.9515600,1155.0
-41.6717400,145.9524300,1121.0
-41.6717800,145.9530400,1103.0
-41.6718100,145.9536600,1090.0
-41.6718500,145.9542700,1077.0
-41.6718900,145.9550000,1064.0
-41.6719300,145.9557300,1056.0
-41.6719700,145.9564600,1052.0
-41.6720100,145.9571900,1039.0
-41.6720500,145.9578200,1026.0
-41.6720800,145.9584600,1019.0
-41.6721200,145.9590900,1024.0
-41.6721600,145.9597200,1037.0
-41.6722000,145.9603900,1052.0
-41.6722400,145.9610700,1059.0
-41.6722700,145.9617400,1062.0
-41.6723100,145.9624200,1075.0
-41.6723500,145.9630900,1086.0
-41.6723900,145.9637600,1094.0
-41.6724300,145.9644200,1095.0
-41.6724700,145.9650800,1093.0
-41.6725000,145.9657500,1098.0
-41.6725400,145.9664200,1105.0
-41.6725800,145.9670800,1114.0
-41.6726200,145.9678300,1126.0
-41.6726700,145.9685700,1134.0
-41.6727100,145.9693200,1144.0
-41.6727500,145.9700100,1152.0
-41.6727900,145.9707100,1157.0
-41.6728300,145.9713500,1161.0
-41.6728600,145.9719900,1163.0
-41.6728900,145.9726300,1164.0
-41.6729300,145.9732700,1166.0
-41.6722600,145.9732800,1166.0
-41.6715900,145.9732900,1164.0
-41.6710100,145.9733000,1160.0
-41.6704300,145.9733100,1146.0
-41.6699100,145.9733200,1125.0
-41.6693800,145.9733400,1106.0
-41.6688600,145.9733500,1082.0
-41.6684000,145.9733600,1060.0
-41.6679500,145.9733700,1043.0
-41.6674900,145.9733800,1042.0
-41.6669900,145.9733900,1056.0
-41.6664900,145.9734000,1073.0
-41.6659900,145.9734100,1072.0
-41.6654900,145.9734200,1056.0
-41.6650400,145.9734300,1038.0
-41.6645800,145.9734400,1026.0
-41.6641300,145.9734400,1020.0
-41.6636700,145.9734500,1016.0
-41.6631800,145.9734600,1012.0
-41.6626900,145.9734800,1008.0
-41.6622000,145.9734900,1002.0
-41.6616200,145.9735000,1006.0
-41.6610500,145.9735100,1024.0
-41.6604700,145.9735200,1051.0
-41.6599500,145.9735300,1085.0
-41.6594400,145.9735400,1124.0
-41.6589200,145.9735500,1156.0
-41.6584000,145.9735600,1190.0
-41.6578800,145.9735700,1215.0
-41.6573500,145.9735800,1229.0
-41.6568300,145.9735900,1238.0
-41.6562900,145.9736000,1244.0
-41.6557500,145.9736200,1245.0
-41.6552100,145.9736300,1242.0
-41.6546700,145.9736400,1240.0
-41.6542000,145.9736500,1231.0
-41.6537200,145.9736600,1217.0
-41.6532500,145.9736600,1198.0
-41.6527700,145.9736700,1178.0
-41.6522200,145.9736800,1149.0
-41.6516800,145.9736900,1126.0
-41.6511300,145.9737000,1110.0
-41.6505500,145.9737100,1095.0
-41.6499800,145.9737200,1081.0
-41.6494000,145.9737300,1072.0
-41.6494000,145.9729800,1058.0
-41.6494000,145.9722300,1057.0
-41.6494000,145.9714800,1051.0
-41.6494000,145.9707300,1038.0
-41.6494000,145.9700900,1030.0
-41.6494000,145.9694500,1019.0
-41.6494000,145.9688100,1009.0
-41.6494000,145.9681700,1003.0
-41.6494000,145.9674400,992.0
-41.6494000,145.9667100,978.0
-41.6494000,145.9659800,966.0
-41.6494000,145.9653400,960.0
-41.6494000,145.9647000,955.0
-41.6494000,145.9640600,946.0
-41.6494000,145.9634200,940.0
